licensenumber,epid,name,birthday,gender,job
WX029441,Hi-8ab9a8b2,Mario Sellers,1947-09-13,M,Higher education lecturer
WDLDBLHN9J0O,To-a28e9ec0,Anthony Nguyen,2014-05-05,M,Tour manager
7823-00-9894,Mu-582f3cfd,Stephanie Johnson,1976-01-26,F,Multimedia specialist
856-31-2420,Sp-26a6d7b1,Angel Kelley,1917-06-03,M,Special educational needs teacher
K73-12-0672,Li-0dffe6c2,Melissa Williams,1946-07-26,F,"Librarian, academic"
WDL451KNWCK8,Te-cd17831e,Linda Johnson,1943-09-17,F,Technical author
J344-1363-0244,Br-e87d671f,Derrick Banks,1981-07-12,M,Broadcast journalist
WDLEI6OQHXHS,Ar-c6a9beb6,John Lee,1956-01-20,M,Archaeologist
497-07-7316,Es-7573b338,Erika Davidson,1912-12-22,F,Estate agent
1940512,Le-dc3a5247,Phillip Shelton,2018-07-13,M,"Lecturer, higher education"
917121233,Th-824c3568,Joshua Dyer,1974-11-21,M,Theatre director
H27-27-5441,Mi-719eed19,Michael Howell,1942-04-03,M,Microbiologist
733800-491,Ma-2e8b939f,Jessica Henderson,2008-01-02,F,Manufacturing systems engineer
H5532807,Ch-affac45b,Hailey Jordan,1916-09-30,F,Chief Marketing Officer
794-99-0658,Yo-ba5db0ef,Kristina Davidson,1928-08-02,F,Youth worker
146208-011,Me-8387f2b0,Peter French,1980-06-02,M,Media buyer
U075410344,Pr-b30b9f5a,Michael Harper,1981-02-10,M,Private music teacher
YMY-70-6051,Hy-b618c764,Nancy Avila,1919-05-20,F,Hydrologist
18-508-8300,Nu-3c8c07a3,Joseph Stewart,1991-01-15,M,"Nurse, children's"
3072-01-3135,Ac-3b893d84,Matthew Perez,2006-07-26,M,"Accountant, chartered public finance"
U383645,Ac-f3bf437c,Christopher Rogers,1956-03-09,M,Actor
AR650097,Pr-07f6a020,Joseph Tran,2009-02-06,M,Prison officer
T413527,Pu-2e711cba,Jeremiah Dixon,1921-01-11,M,Publishing rights manager
W200122,Ma-f2c97223,Robert Alvarez,1992-02-17,M,Magazine journalist
HAFDZTK880HH,Su-c7aba711,Penny Owen,2002-11-18,F,"Surveyor, minerals"
77 659 320,Ra-b0ae6f25,Peggy Scott,1963-07-02,F,Radio producer
H24825947,En-0c300679,Penny Kennedy,1931-12-23,F,"Engineer, electrical"
1591777R,IT-e8a6670e,Matthew Wilson,1934-06-21,M,IT technical support officer
R-559-018-951-542,Ac-0e8ac7ff,Christopher Espinoza,1921-12-07,M,"Accountant, chartered management"
93-059-9136,Te-3ab87a92,Cameron Owen,1986-06-13,M,"Teacher, English as a foreign language"
D527827,Fa-a9282e1c,Jason Garcia,1966-02-28,M,Fast food restaurant manager
FO918254H,Co-b820e685,Thomas Powers,1920-04-21,M,Counsellor
T713-0262-0943,De-7ea246da,Carolyn Sellers,1950-11-19,F,"Designer, exhibition/display"
65-959-8094,Pr-6dc8e184,Kelly Kaufman,1991-12-12,F,Primary school teacher
WDL7OHAGQHNL,Ca-58b7cd09,Kyle Meyer,2004-03-10,M,Careers adviser
L567537301645,Ra-920d423f,Ellen Gordon,1954-12-04,F,Radio producer
L754-7467-5876,Ch-84bb6864,Rebecca Porter,1964-02-13,F,Chief Technology Officer
Q 849 028 914 225,Co-26e7e433,Mary Burns,1921-03-26,F,Community arts worker
LP598137E,Re-926914b8,Wesley Crosby,1988-04-24,M,"Research officer, trade union"
999926842,Re-2d0709ca,John Lewis,1922-12-04,M,"Research officer, trade union"
6761485Y,Ge-dc3553c6,Jennifer Lester,1984-03-08,F,Geophysicist/field seismologist
K-090-195-272-025,Pi-a3e18b1d,Jessica Green,1998-06-27,F,"Pilot, airline"
10HHI69275,De-846fe72c,Jean Martin,1957-11-16,F,"Designer, industrial/product"
H986549660,Ba-014b7d97,Sandy Miller,1937-06-05,F,Barista
J8647 99054 00362,Do-35cea0ca,Carol Morris,1949-09-17,F,"Doctor, hospital"
I139929,He-e13f4103,Cathy Williams,2011-06-21,F,Health physicist
WDLOB4D29T5V,Fo-94da73fe,Jacob Murray,1965-09-19,M,Forensic psychologist
551 572 610,Le-3737cbc5,Stephen Allen,2019-04-07,M,Legal secretary
H91843709,Ho-c78a86e7,James Walton,1971-09-06,M,Holiday representative
J481-0388-7096-00,Co-03c7970c,Christina Hamilton,2005-01-25,F,Contractor
