job,gender,licensenumber,name,epid,birthday
"Geologist, wellsite",M,3986984,Douglas Ruiz,Ge-13240d97,1937-03-22
Restaurant manager,F,567477-486,Leah Browning,Re-585c5419,2017-03-21
"Engineer, site",M,M60348645,Thomas Navarro,En-bd2b6127,1956-12-19
Claims inspector/assessor,M,845376667516,Steven Moore,Cl-c4843119,1913-03-09
Brewing technologist,M,JDG-09-3386,William Estrada,Br-56db54d2,1939-12-10
Museum/gallery conservator,F,834PF2020,Melanie Small,Mu-01e2cb22,1979-01-25
Nature conservation officer,F,YS383216F,Angela Kennedy,Na-2c20240c,1982-10-10
Osteopath,M,86634024,Craig Jensen,Os-f1e76612,1914-03-21
Diplomatic Services operational officer,F,4187931,Debbie Moore,Di-e78e1876,1911-01-03
Field seismologist,F,ZRF-54-0268,Kristen Brown,Fi-c52ac27c,1945-11-15
Field seismologist,M,K59-05-6904,Ryan Thomas,Fi-00cd1a8f,2017-05-20
Tax inspector,M,YXSI*TF61841,Michael Phillips,Ta-56febaac,1907-08-06
Electronics engineer,M,499254-269,Matthew Gay,El-88fa3656,1967-03-16
Make,M,K95-605-662,David Clark,Ma-2e83752b,1911-09-26
"Embryologist, clinical",M,66-205-7757,Christopher Sandoval,Em-78078132,1967-09-01
"Administrator, Civil Service",M,556909522749,Evan Brooks,Ad-7937ae20,1965-12-19
Advertising account planner,M,H14908118,Dennis Barker,Ad-378065a1,1984-12-09
Television production assistant,F,E3673614,Alyssa Boyle,Te-2fa0550b,1977-07-13
Diplomatic Services operational officer,M,BL701327V,Devin Smith,Di-02cea775,1923-07-23
Electronics engineer,M,1853491,Philip Smith,El-78126cd5,1950-11-05
"Scientist, physiological",M,774 568 817,Christian Knight,Sc-0d2ef7e5,1982-03-11
"Engineer, chemical",M,38-060-6737,Gregory Bond,En-1f08139b,1932-02-22
"Pilot, airline",M,OQNWNZB857BK,Donald Hill,Pi-580944ab,1937-03-01
Community pharmacist,F,864YW0291,Amanda Ortega,Co-a76e96ff,1937-01-28
Public affairs consultant,M,627-68-1490,Dakota Cantu,Pu-21250fed,1986-12-26
Clinical cytogeneticist,M,CR527612,Andrew Casey,Cl-d30cb521,2000-09-19
Corporate investment banker,F,8055-91-7906,Kathleen Rodgers,Co-51ce5705,1980-02-09
Intelligence analyst,M,45 424 460,Nicholas Banks,In-86129929,1986-02-28
Museum/gallery curator,F,Q8046 57655 35279,Samantha Barber,Mu-fcd7483d,2009-08-01
Insurance account manager,M,ZPK-11-6580,Lawrence Johnson,In-37e9344d,1981-02-02
Analytical chemist,F,3668005C,Sabrina Smith,An-d41a51f7,1939-06-17
Graphic designer,F,801804227915,Sharon Estes,Gr-8baaf33a,1979-09-13
Phytotherapist,M,J816-3788-2587-06,Richard Romero,Ph-9b64312c,1980-12-10
Technical author,M,418HY3058,Jesus Clark,Te-cd6a2eef,1970-11-03
Public relations account executive,F,H06261072,Brittany Lee,Pu-1f867323,2018-11-28
"Engineer, chemical",F,J 469 135 929 647,Victoria Hall,En-8e36d71d,1956-08-17
Personnel officer,F,N09705682,Melissa Martinez,Pe-b75d5ec1,1977-05-21
Meteorologist,M,187631320,Jon Allen,Me-11dc2bd5,1993-02-13
Chemical engineer,M,Y781038,Andrew Thompson,Ch-a4a69591,2020-09-17
"Engineer, site",F,893 513 645,Sandra Cherry,En-7fbf1851,2020-02-07
Neurosurgeon,M,Z217-8532-8175-88,Jeff Martinez,Ne-0c3c1599,1953-02-06
"Civil engineer, consulting",F,F-233-455-784-892,Christina Mann,Ci-f063f9d8,1955-05-01
"Horticulturist, commercial",F,4309015,Crystal Warren,Ho-74a9e81f,1956-07-23
Hydrographic surveyor,F,28867231,Tricia Garrett,Hy-1c599b01,1951-02-07
Chartered accountant,M,250918408,Charles Cooke,Ch-0e563841,1977-05-04
"Editor, film/video",M,74-271-6231,Christopher Moore,Ed-0721dda4,2005-12-23
Waste management officer,M,K91-85-1297,James Murphy,Wa-b6947171,1984-06-26
IT trainer,F,979453165,Patricia Knight,IT-de8400b4,1986-11-07
Media buyer,M,3579154A,Chad Bullock,Me-c24816a0,1932-12-24
Planning and development surveyor,F,12TUM45277,Brooke Holland,Pl-16d38174,1909-02-14
