licensenumber,birthday,gender,name,epid,job
FJQ-37-0830,1910-05-27,F,Amanda Decker,Te-a53f7a11,"Teacher, early years/pre"
977563-671,1920-09-05,M,Larry Lopez,Me-8538151c,Media buyer
K05-02-2532,1981-03-08,F,Kathryn Snyder,Re-1f71648b,"Research officer, trade union"
L320-159-26-591-0,1950-06-28,M,Jonathon Rodriguez,Hi-d3a0d16d,Higher education lecturer
Z3849470,1930-12-13,F,Michelle Johnson,Sp-f266b5bf,Sports development officer
Z745-3047-5469-47,2021-06-28,M,Mark Gordon,Pu-20dff4b6,Public librarian
190604728046,1914-03-03,F,Karen Hall,Fi-d27f5760,Financial planner
927947388,1944-07-19,F,Suzanne Prince,Pa-6894cde4,Paramedic
00703337,1991-05-14,F,Shannon Wagner,Mu-1030909e,Music therapist
499NW7745,1917-07-26,M,Martin Berger,Ps-e676bc32,"Psychologist, counselling"
72-855-4032,1921-11-28,F,Heather Curtis,De-d85ce22c,"Designer, blown glass/stained glass"
K21-52-7480,1932-08-05,F,Stephanie Allen,Fi-bfee7cf8,Film/video editor
533727926138,1960-08-03,F,Jennifer Davis,Ar-15ad8e88,Art gallery manager
H825-7328-1495-36,1941-12-25,F,Dominique Valdez,Me-51d2efae,Mechanical engineer
CGT-68-4813,1977-04-27,M,Randall Henderson,De-b178935e,"Development worker, community"
312475-906,1927-05-05,F,Mrs. Julia Floyd,An-902bfb74,Analytical chemist
Z-138-530-938-819,1975-05-30,F,Melissa Thomas,Ps-95067bdb,"Psychologist, sport and exercise"
4611163,1951-02-12,F,Kayla Rodriguez,De-fc313d31,"Designer, ceramics/pottery"
8047-71-9602,2015-08-30,M,Raymond Bennett,Su-bb0c6277,"Surveyor, mining"
75 944 915,2016-09-24,M,David Matthews,Lo-0885574b,Location manager
K42-13-8200,1978-04-29,M,Bobby Miller,Ge-29ff5497,Geographical information systems officer
755861883657,1961-01-27,F,Angela Patterson MD,Se-ea843334,"Secretary, company"
692379-983,1991-10-07,F,Paula Mathews,Hy-09858f6e,Hydrologist
WDLLHTSBUXIB,1961-09-01,M,Mark Wells DVM,Ph-53380201,"Physicist, medical"
W353286668,1973-05-22,M,Brandon Morrison,Pr-1c39de23,Printmaker
Z126-6200-6861,1921-08-17,M,Kenneth Cole,Wa-22161197,Waste management officer
H12029909,1989-08-11,M,Mark Kirby,Sp-5819d418,Sports therapist
V43-16-2346,1928-12-29,M,Colin Holland,Je-a7a6d9aa,Jewellery designer
X1626007,1930-11-01,M,Donald Petty,In-baa9ae65,Industrial/product designer
01UDI99109,1907-10-22,F,Melissa Berry DDS,Re-74211de8,"Research officer, government"
R26-86-1419,1919-06-21,M,John Harrington,Co-af0a53b9,Computer games developer
T399-3811-1216,1918-04-10,F,Victoria Bennett,Vo-03006b96,Volunteer coordinator
S39991772,1955-06-22,M,Daniel Bernard,Fo-f778c2cd,Forest/woodland manager
9300214,1912-02-25,M,Bob Boyd,Fi-7a83b735,Financial adviser
26338928,1958-11-05,F,Catherine Freeman,Sp-cbcdc740,Speech and language therapist
K718-2368-6683-43,1965-08-15,F,Katie Cardenas,Ar-5bfe01a6,Arts development officer
G939-042-10-036-9,1957-03-30,M,Ethan Young,Mu-b85e196c,Multimedia programmer
M982355622092,1948-08-08,M,Michael Obrien,Co-5892fcda,Corporate investment banker
K66-15-8597,1931-04-28,F,Kristen Riley,Me-f6a1568b,Merchant navy officer
N-828-329-201-385,1927-07-15,F,Tina Wright,Le-30fccf44,Learning mentor
W60-07-7535,1945-03-01,M,Travis Mason,Su-5019170a,"Surveyor, planning and development"
U359-0189-7009,1918-07-20,F,Martha Moore,So-b2c7adca,"Sound technician, broadcasting/film/video"
1895380,1910-07-19,M,Steven Koch,Pr-3d66538f,"Producer, television/film/video"
J8592 51428 70395,1910-10-15,F,Krista Grimes,En-32b18303,"Engineer, materials"
20674847,2002-03-19,F,Denise Diaz,Fi-2f8a29bb,Field seismologist
X769942872,1923-03-05,M,Anthony Riley,Po-e27a6180,Politician's assistant
H01925197,1948-02-22,M,James Yang,Ch-61127b56,Charity fundraiser
S9032515,2002-04-03,M,Jay White,Pe-28afec78,Personnel officer
422EZ7784,1913-10-24,M,Darrell Mcintosh,En-9833b728,"Engineer, control and instrumentation"
715509909,1969-12-16,F,Ann Garcia,Co-890fbad0,Contractor
