job,licensenumber,birthday,gender,name,epid
Pharmacologist,DB755828U,1976-07-02,M,Thomas Coleman,Ph-6d202aeb
Landscape architect,Y25956194,2006-10-09,F,Sarah Lynch,La-b096853f
"Scientist, biomedical",M 717 726 052 598,1983-06-08,M,David Bailey,Sc-c5160907
"Teacher, primary school",B755-0458-4216,1931-04-18,F,Linda Reese,Te-34bcb27b
Printmaker,CZ084100,1961-06-04,M,Andrew Fox,Pr-8b4b53f5
Research scientist (maths),V8888 37485 28867,1946-03-02,F,Mary Bowers,Re-569a74be
Civil Service fast streamer,04DRK63315,2012-10-24,M,Kyle Smith,Ci-aaa90e12
Acupuncturist,992619408,2004-11-27,F,Amy Marshall,Ac-db965d6b
Production engineer,T835684,1979-08-16,F,Tiffany Ray,Pr-373ce316
Mental health nurse,G673859209026,1938-02-24,F,Abigail Guzman,Me-2d2e628f
Clinical cytogeneticist,L93-950-726,1995-08-21,F,Laura Holmes,Cl-5d956d50
Investment analyst,790599-873,1976-10-15,F,April Roberts,In-29c0b4cc
IT trainer,08YDZ95316,2009-06-28,F,Traci Simpson,IT-cfb427b7
Ophthalmologist,D300140023769,1988-12-27,F,Mallory Hall,Op-73893604
Youth worker,H57421034,1997-01-19,M,Daniel Frank,Yo-fe34aa94
Drilling engineer,9406935Z,1993-06-07,F,Rachel Lewis,Dr-358420d1
Acupuncturist,D574-626-65-056-7,1980-09-15,F,Jessica Blake,Ac-dd1daf1f
Community pharmacist,A13-88-6638,1947-12-25,M,Sean Wright,Co-06dde0db
Metallurgist,A89627728,2002-12-15,F,Tiffany Kelley,Me-e9b09bdb
Archivist,S05-996-130,1968-08-26,M,Carl English,Ar-6ce05f46
Sales promotion account executive,1394139,1980-08-28,M,Nicholas Martin,Sa-2e0eec98
Purchasing manager,N-354-176-411-581,1925-11-27,M,Brandon Nelson,Pu-b186e93d
"Chemist, analytical",D 176 249 767 920,2008-06-02,M,Thomas Brown,Ch-ad62857b
Quantity surveyor,C83-31-9976,1921-03-20,M,Shawn Vaughan,Qu-f0f62bfd
Visual merchandiser,635 720 306,1938-07-11,M,Scott Castro,Vi-a4885680
Regulatory affairs officer,084-27-6820,1925-05-21,M,Craig Dickerson,Re-7ad77351
"Production assistant, television",0726-22-4293,2021-03-07,F,Angela Sanchez,Pr-46055f03
Teaching laboratory technician,5345600,1927-06-08,F,Destiny Jones,Te-d8d1fc15
Counselling psychologist,Y030398,1945-06-27,M,John Gray,Co-413a8a9d
"Scientist, product/process development",H31656681,2012-07-02,F,Gina Beck,Sc-364965a0
Art therapist,B484914597505,1956-09-19,F,Barbara Myers,Ar-198696e4
Arts administrator,Z31-17-5193,1993-07-17,F,Ashlee Pena,Ar-1ae0ef6f
Visual merchandiser,H78260288,1949-10-20,F,Cheryl Ramos,Vi-05e34e67
"Surveyor, building",3684786P,1963-02-10,F,Vickie Parker,Su-d7ebf099
Barista,H58131347,1959-01-15,M,Clinton Savage,Ba-2bd31411
Translator,9874-26-9013,1909-04-15,F,Amanda Cox,Tr-226c915a
Museum/gallery curator,6094136,2016-07-31,M,Neil Chang,Mu-16bbbf0e
Web designer,S991319656155,1989-11-30,M,Gary Williams,We-aa549896
Training and development officer,VS381818,1940-09-21,F,Debra Diaz,Tr-d3ff0843
Paramedic,CWH-36-4967,1922-06-02,M,Jeremy Nash,Pa-1723fc3f
Advertising account planner,WDLZIDCECJ4V,2006-01-19,M,Alexander Peterson,Ad-a968cf84
Insurance account manager,X724631706,1977-06-04,F,Tammy Jones,In-bb690b1b
"Engineer, maintenance",0757-21-0007,1937-03-31,M,Austin Campos,En-faa172af
Lobbyist,X40-71-5710,2016-03-17,M,Scott Simpson,Lo-f3995fdc
Trade mark attorney,L500-892-09-463-8,1953-07-18,M,Matthew Murray,Tr-289728f9
"Psychologist, forensic",10VGH76213,1932-02-02,M,Andrew Lyons,Ps-c71e4fe9
"Surveyor, insurance",Q259-9783-5593-52,1915-12-14,M,Raymond Johnson,Su-8300467d
"Accountant, chartered management",ZHS-09-7476,2011-01-21,M,Kevin Cohen,Ac-8e546be0
"Psychologist, educational",FKFXRQG6405P,1965-04-06,F,Elizabeth Ortiz,Ps-6d95cb0b
"Journalist, broadcasting",A13-623-187,1952-05-23,F,Michelle Miller,Jo-d9b9f434
