name,gender,licensenumber,epid,job,birthday
Anthony Carter,M,48-642-0293,Th-fb5f75c7,"Therapist, sports",1945-10-26
Christopher Alexander,M,491PU7386,Ps-2f1fc9de,"Psychologist, occupational",1961-10-29
Brian Garcia,M,H99960861,Pr-e2c60008,Professor Emeritus,2017-01-21
Beverly Shaffer,F,796920-004,En-1a3e78e4,"Engineer, petroleum",1971-07-04
Ryan Obrien,M,08TTY10300,Ed-7e11cf1f,"Editor, film/video",2019-07-12
Seth Chen,M,143 729 095,Me-da515a13,Medical laboratory scientific officer,1972-03-10
Destiny Stephens,F,L338085,Pr-2f37ca45,Production manager,1964-09-04
Jose Medina,M,K41-01-7675,Pr-67201069,Press sub,1965-02-11
Joseph Brown,M,2838350,Ma-adacca4b,Manufacturing engineer,1909-11-11
Kevin Graham,M,D2222539,He-c6d7ecc9,Herpetologist,2015-03-31
Mary Jones,F,H2453047,Co-895ba4ca,"Conservator, furniture",2013-09-29
Crystal Valdez,F,324KW9429,Ta-52a6efd5,Tax inspector,1915-12-23
Pamela Wiggins,F,18879268,Pr-61af6bec,"Programmer, multimedia",1939-11-29
Jeffrey Schmitt,M,8428-10-2697,Me-073bb4c5,Medical physicist,2012-08-15
Jessica Stark,F,WJ602056B,Se-8df1e3c3,Secondary school teacher,2002-06-07
Kerry Ramirez,F,25121595,In-4436f271,"Investment banker, corporate",1972-11-08
Jeanette Tate,F,6872392J,Ma-dea48774,Marine scientist,1983-10-08
Joseph Blake,M,735680300,Hy-620c91ce,Hydrographic surveyor,1963-11-01
Javier Bridges,M,L7516841,Me-0e7eb8f0,Mental health nurse,1990-02-22
Jenna Greene,F,229-79-7716,Ps-d637cf06,Psychiatric nurse,2014-01-27
Rebecca Porter,F,WDL0DDXUNXFX,Ps-3d5583cf,"Psychologist, clinical",2011-04-21
Christina Chandler,F,H4955968,Ed-4ad259ba,"Education officer, environmental",1996-05-10
Crystal Gonzales,F,192 715 293,Re-a62b67c4,Research scientist (maths),2022-12-13
Joshua Morton,M,91122392,Te-405c9ebb,"Teacher, primary school",2021-08-15
Amy Davis,F,S180-781-54-953-6,Tr-207548b3,Training and development officer,1976-04-09
Carl Wong,M,F0134 93168 85027,So-0db14ea7,Social worker,1964-03-09
Jessica Melendez,F,02915437,Sp-a8779f30,Speech and language therapist,1987-04-15
Kimberly Chavez,F,N-622-454-243-817,Ho-159cc02d,Housing manager/officer,1910-07-13
Leslie Cummings,F,S 835 400 603 368,Ha-f6b8ae27,Haematologist,1946-04-03
Kristin Summers,F,L 745 840 121 642,Br-58a40d16,Brewing technologist,1920-07-29
Eric Chang,M,GE580247,Mu-2fc4434b,Music therapist,2017-12-05
Jennifer Baldwin,F,WW779129E,Yo-9618ba3b,Youth worker,1946-11-18
Joseph Lee,M,V1034 38438 28386,Ge-ad50b922,Geographical information systems officer,1927-06-06
Alison Martin,F,O02-75-4782,Su-e2d9d610,"Surveyor, hydrographic",1943-05-18
Kimberly Garcia,F,H45824021,Na-4300d1f1,Naval architect,1952-07-20
Steven Larsen,M,K2493809,Me-77b7a2c3,Media planner,1949-08-28
Stephen Santos,M,Y-750-806-754-889,Sh-51d7dd4f,Ship broker,1924-04-12
Olivia May,F,899248-372,Te-1eb6efe8,"Teacher, early years/pre",1991-05-10
Samuel Beasley,M,078417-064,Co-da68521f,Corporate treasurer,1965-09-26
Roger Poole,M,TE051991,Pu-9d46e77c,Public librarian,2021-04-30
Andrew Velasquez,M,85 256 117,Tr-85fb636f,Translator,1921-08-29
Thomas Johnson,M,WDLX3KVDKSDI,Da-d0301124,Data scientist,1980-10-30
Mark Lane,M,6184358,De-cf007067,"Development worker, community",2021-09-03
Gina Villanueva,F,943047963,Fi-ef00a71b,Financial planner,2016-03-10
Debra Bell,F,403619-762,Bi-f6434835,Biomedical engineer,1927-03-04
Mary Johnston,F,966GQ0699,En-b2934d0b,"Engineer, structural",2001-04-14
Larry Spencer,M,A595739,Ch-ec7373ae,Chiropodist,1969-11-22
Angela Schmidt,F,H801-728-95-160-3,Sp-fcd8ae71,Special educational needs teacher,2013-09-22
Robert Clements,M,H611-4394-6703,Th-c6cd00eb,Theatre manager,1918-01-14
Nicholas Barron,M,FBS-13-5052,Ec-05eb2f2a,Ecologist,1980-09-18
