gender,name,licensenumber,epid,birthday,job
M,Jason Curry,KR997381,Ac-fcf0ac9c,1910-06-11,"Accountant, chartered"
F,Christine White,873893-910,Hy-93a98449,1966-04-09,Hydrologist
M,Nathan Schroeder,J215601873647,Su-784fe183,1966-03-25,"Surveyor, commercial/residential"
F,Sarah Cross,1249137244109,So-95259c9b,1945-10-04,Social worker
F,Stephanie Stevenson,MQEASBJ5084A,He-19d99548,1943-05-08,Heritage manager
M,Gregory Cunningham,M0995 92577 42440,Co-1f0e4ef3,1988-11-24,Comptroller
M,Albert Taylor,H143157191520,Fi-48024cbc,2021-08-08,Film/video editor
F,Anne Parker,J76-22-8190,Op-afec018a,1948-11-27,"Optician, dispensing"
F,Vickie Shea,DH651324O,An-6746d21d,1984-08-03,Animal technologist
F,Kathryn Dickerson,2985996,Sc-7088c84f,1928-11-28,"Scientist, water quality"
F,Alyssa Smith,H38-173-823,Au-06af437f,1918-06-01,Audiological scientist
F,Amy Valenzuela,VZ***OF0107G,Ci-b491bee4,1956-03-09,"Civil engineer, consulting"
F,Vanessa Long,083-81-2021,Mu-bade5cad,1981-11-20,Museum/gallery exhibitions officer
M,Mike Gonzalez,9372-99-5225,Su-35646928,1916-01-24,"Surveyor, hydrographic"
F,Katrina Mann,PN030536,Do-efbbdbab,1991-06-27,"Doctor, hospital"
M,Brian Mendez,103EV1008,Sc-371e709d,1978-06-09,"Scientist, research (maths)"
M,Glenn Jackson,F259763433,Ga-661bf399,1980-06-15,Games developer
M,Mike Salas,976654218,Am-df6fba07,1955-01-15,Amenity horticulturist
F,Diane Le,U853691627777,Me-a29df58a,1998-09-04,Medical sales representative
M,Michael Perkins,W21-369-853,Ed-ba07e018,1999-03-09,"Education officer, environmental"
F,Alexandra Carey,96-414-8380,Ad-6a1ecdca,1925-12-07,Advice worker
M,Kenneth Graham,H628-141-67-660-2,Am-3b536b34,1948-12-29,Ambulance person
F,Kim Lara,18815963,Su-e726902c,1960-10-21,"Surveyor, hydrographic"
M,Eric Jones,3517363F,So-1949b06b,2009-11-17,Software engineer
M,Larry Gonzales,QJ***ZC050RU,Co-4accb6ed,1966-08-18,"Conservation officer, nature"
M,Carlos Fuentes,F887-174-73-447-9,Ga-b3bc3ff3,1929-08-15,Gaffer
M,Jonathan White,468436251,Ga-5464fcb6,1910-02-27,Garment/textile technologist
F,Erin Bates,OF876849,De-8ece15b8,1947-09-15,"Designer, fashion/clothing"
M,Alvin Smith,95609146,Ad-abab734d,1941-10-08,"Administrator, education"
F,Carrie Lewis,6679963,Ge-3b146102,1990-03-18,Geophysicist/field seismologist
M,Tyler Watkins,C073334773,La-5167566e,1955-02-09,Land/geomatics surveyor
M,Michael Hess,G-187-479-803-750,Pr-14cf4df9,1934-08-31,"Programmer, systems"
F,Maria Robinson,CP061930Z,En-bb89bd08,1935-04-29,Engineering geologist
F,Tonya Rogers,455 086 483,Wr-7e5d048f,1983-06-17,Writer
M,Aaron Williams,930570632,Fi-5c0d723a,1920-07-05,Fisheries officer
M,Michael Yoder,IENS*OL589QK,Fi-001ea644,1944-01-09,Financial controller
F,Melissa Riddle,W243599,Me-7ab77d96,1933-05-21,Merchant navy officer
M,Thomas Anderson MD,GWAS*KV520NH,Se-85e9fac8,1975-01-25,Set designer
M,Adam Martin,2433363,Pu-155ba9b4,1947-03-09,Publishing rights manager
M,James Jones,599VL4592,Mu-0d399b17,1927-03-26,Museum/gallery exhibitions officer
F,Jennifer Bender,Z132005,Pa-1d811c90,1926-08-04,Pathologist
F,Renee Moran,O 146 781 015 562,Ci-e7ec33e5,2018-05-03,"Civil engineer, consulting"
M,Randy Clark,Q039858657,In-c02ec942,2005-06-21,Interpreter
M,Eugene Rangel,7049128,Ch-2fe404d3,1994-06-14,Chemical engineer
M,Patrick Mooney,Y267-3027-3554-56,Fi-28effbd0,1927-04-17,Field trials officer
M,Christopher Garcia,G529-2175-5008,Fi-77b15806,2004-02-29,Fisheries officer
M,Oscar Lane,P-240-515-128-397,Te-1e43e3a7,2011-03-02,Teaching laboratory technician
M,Kyle Marquez,X5408110,Re-ca2d1c64,1951-08-13,Retail banker
M,Roy Brown,366-32-0358,Yo-d35d4c82,1922-11-21,Youth worker
F,Katrina Murray,541OF4187,Ca-43d730c0,1982-07-01,Call centre manager
