job,gender,name,epid,birthday,licensenumber
"Programmer, systems",F,Amber Kennedy,Pr-eebbe98b,1954-02-01,E 077 607 273 887
Catering manager,F,Rebecca Clark,Ca-0d6bb391,1933-03-03,340 180 320
Clinical embryologist,F,Marie Ortiz,Cl-41ef95af,1960-10-07,Y60-21-2837
Information officer,F,Sabrina Stanton,In-daff85ac,1991-09-11,764924086
Brewing technologist,M,John Macias,Br-695a6892,1941-02-04,8078-57-6777
Data scientist,M,Bradley Dean,Da-1386bd99,1971-03-29,11 167 701
Learning mentor,M,Nicholas Brewer,Le-fa19f7b4,1929-11-07,406656-661
Manufacturing engineer,M,Stephen Moore,Ma-1ad904e2,1971-01-03,K779354915658
Barista,F,Sharon Wright,Ba-45e354d0,1958-03-23,Y334-1228-7697
"Buyer, industrial",M,Zachary Mckinney,Bu-5cfe77b4,1952-02-24,K06-12-4320
General practice doctor,F,Hailey Garner,Ge-ed051789,1908-07-20,Y684-9391-0472-80
Public librarian,F,Angela Gregory,Pu-da7fe25d,2012-06-15,096-57-2900
"Radiographer, therapeutic",M,Trevor West,Ra-6a7c22eb,1942-10-02,C023644284
Proofreader,F,Lindsey Thompson,Pr-4298ef54,1956-11-29,17614356
Musician,F,Jean Reynolds,Mu-cee4530e,1950-08-25,5420514
Water quality scientist,M,Todd Williams,Wa-f1d49a8c,1924-01-22,J648-7014-0401-00
Transport planner,M,Nicholas Sullivan,Tr-cc6195f3,1929-08-09,508331-083
"Scientist, biomedical",M,Tyler Duran,Sc-c9c0ff23,1946-03-11,J 674 216 953 794
Cytogeneticist,M,Bill Wilson,Cy-bbd122ec,2008-02-27,0444228
Conference centre manager,M,Luke Taylor,Co-7e869824,1936-12-21,565124-101
Public relations account executive,F,Kellie Keith,Pu-b03e9551,1917-10-23,X 475 267 971 521
Company secretary,F,Lauren Anderson,Co-40770eb0,1977-09-10,273156-495
Agricultural engineer,M,Peter White,Ag-1a9a584a,1977-01-26,F1157 29531 05908
Facilities manager,M,Dennis Austin,Fa-5a5f2faa,2001-04-25,2628906X
Production manager,F,Kimberly Ortiz,Pr-92ce8a1d,1956-09-09,H009835578
"Editor, film/video",F,Megan Fitzpatrick,Ed-7420af53,1995-01-20,JRVK*CT5920B
Firefighter,F,Wendy Kelley,Fi-f44dc95f,1951-10-17,07MZP52290
Barrister,M,Patrick Crawford,Ba-d5195866,2006-09-03,K6118 89664 69515
Community development worker,M,David Taylor,Co-0d1b2bb2,1925-03-07,0783065574131
"Scientist, audiological",F,Betty Terry DVM,Sc-2269a1d0,1992-07-21,M207363
Records manager,F,Deanna Buck,Re-6682df38,2001-02-16,09HGT08108
Trade union research officer,F,Nichole Green,Tr-78cbefab,1939-11-17,8926833
Media planner,F,Stacy Powell,Me-4776dd33,2005-05-21,T405713333235
Records manager,M,Vincent Holmes,Re-06c9497f,1915-07-10,X9273 85788 82610
Fast food restaurant manager,F,Emily Lewis,Fa-2c8ed11f,1974-06-28,195052535461
Television floor manager,F,Amanda Roberts,Te-61fb7738,2013-09-17,C115037544431
Financial risk analyst,M,Robert Woods,Fi-bb48267f,2008-12-28,91-804-4808
"Civil engineer, contracting",M,George Mack,Ci-56b603c7,2021-10-25,D-708-696-121-684
"Programmer, multimedia",M,Robert Donaldson,Pr-ce76ce65,1982-10-25,090283976346
"Research officer, political party",M,Patrick Johnson,Re-34b8a030,1997-10-07,L988972
"Development worker, international aid",F,April Herrera,De-629f1968,2002-03-21,819-03-6794
"Surveyor, mining",M,Perry Espinoza,Su-194b9ef4,2016-08-17,03TTG37207
"Designer, graphic",M,Jacob Knight,De-48203933,1940-03-13,K0404240
Illustrator,M,John Alexander,Il-2112023f,1972-09-09,E150-3719-4777
"Lecturer, further education",F,Courtney Reilly,Le-b8550735,1954-07-07,B58888468
Sales executive,F,Lisa Morgan,Sa-8cc60cff,1949-12-08,V10-542-815
Financial risk analyst,M,Matthew Robinson,Fi-e958f5ef,1969-07-31,317868375
Catering manager,M,Marcus Phelps,Ca-0ce4aa80,1947-03-03,U5553 67196 83723
Animator,F,Jamie Williams,An-5c3ad3ea,1919-02-17,9941943O
Legal executive,M,Willie Lucas,Le-8a62ce2f,2003-11-18,43357217
