name,licensenumber,birthday,gender,epid,job
Todd Davis,6542910,1911-10-25,M,Fu-788d1ae6,Further education lecturer
Lisa Ayala,QN975861S,2008-03-27,F,Co-3ebea197,"Conservation officer, nature"
Erin Stephenson,B394620,1925-10-20,F,Nu-a296acc3,Nutritional therapist
Amanda Soto,E35-65-8959,1959-04-14,F,Ri-1fcc3da3,Risk analyst
Rebecca Smith,7361334W,1965-09-30,F,Cy-d857cdbb,Cytogeneticist
Annette Newman,K89-94-5811,1959-05-16,F,Gr-da34a702,Graphic designer
Michael Lewis,90 984 030,1992-12-10,M,En-7479c27d,"Engineer, communications"
Candice White,Y 031 498 941 909,1925-03-17,F,Ac-c3a3c7ff,Accommodation manager
Craig Cooper,H14490609,1917-04-09,M,Ca-75d0223d,Careers adviser
Elizabeth Lopez,004BU9668,2017-05-08,F,Li-f92d7a37,"Lighting technician, broadcasting/film/video"
Julie Williams,7261983,1971-08-19,F,Op-69d07b7a,Operational investment banker
Ariel Davidson,60 319 196,1925-03-28,F,So-e7618f48,Soil scientist
Shawn Oneal,51-085-8700,1945-12-10,M,So-e1c4e98f,"Social research officer, government"
Jose Turner,J0152322,1947-01-18,M,Sc-7a342cc7,"Scientist, audiological"
Meghan Huff,0955362644124,1921-04-08,F,Ph-26b2df82,Physiotherapist
Desiree Reed,WDL4ZRVF7Z1M,1927-03-10,F,Le-59964930,Legal secretary
Jorge Archer,V664-9976-2094-37,1932-09-12,M,Nu-3a37847d,Nutritional therapist
Thomas Dixon,A233-835-64-068-3,1981-10-20,M,Ps-c5a83c66,"Psychotherapist, child"
Jill Rodriguez,L3708 69834 32705,1920-02-29,F,Co-43095523,Colour technologist
David Gutierrez,584576521425,1967-03-27,M,Ta-e48db600,Tax adviser
Christopher Kline,74-486-7884,1986-08-03,M,En-ef85b40b,"Engineer, communications"
Bryan Mitchell,7899202,1991-07-01,M,Vo-abafffab,Volunteer coordinator
Jennifer Bell,H239-5468-9226-05,1937-03-10,F,Th-fa3a549f,"Therapist, drama"
Brian Martin,D43744973,2022-12-07,M,Ge-2ff524c6,Geophysicist/field seismologist
Cathy Moody,44950086,1941-12-01,F,De-ac461d7b,"Designer, multimedia"
Brandon Warner,10-885-2997,1975-12-29,M,Ha-2d1987f2,Haematologist
Julie Mcbride,Y1314 70601 09412,1915-12-09,F,Ac-c5aaf0cc,"Accountant, chartered public finance"
Jacob Morris,I123395,2011-06-25,M,Bu-844e48e2,"Buyer, industrial"
Maria Wilson,887529-495,1943-11-27,F,Li-b98838b7,"Librarian, public"
Benjamin Vang,G907160,1952-07-31,M,Go-a7316cc8,Government social research officer
Joshua Hunter,A-903-476-724-208,1992-01-08,M,Mi-0464e452,Minerals surveyor
Melissa Harris,225606419202,1955-09-08,F,Fi-efd3e560,Firefighter
Melissa Cooley,986151933,1955-04-05,F,Te-a0639d44,"Teacher, English as a foreign language"
Kevin Ellis,W 822 117 646 596,2003-10-05,M,Me-8fd7da90,Mechanical engineer
David Oneal,995328923,1924-01-16,M,Ai-c1ebf9b2,Air traffic controller
Robert Wells,IF878516C,1955-09-19,M,Pr-3b2489aa,"Programmer, multimedia"
William Perez,7447649,1936-09-04,M,Ad-dc811956,Advertising account planner
Jared Stephenson,027 752 566,1992-09-17,M,Da-b4f79b86,Database administrator
Bradley Kemp,G6310 76155 16464,1988-06-16,M,Es-d7c872c2,Estate agent
David Jones,WDLXYW25R12B,1956-03-22,M,In-70e8ef0d,Interior and spatial designer
Timothy Schwartz,H6685 98270 36308,2006-10-03,M,Sh-e67c45f0,Ship broker
Mr. Angel Cantrell,23-772-5194,1935-10-26,M,Jo-a36a0e1e,"Journalist, newspaper"
Ashley Hudson,36782257,1962-03-02,F,To-7591cae5,Tour manager
Kyle Mcdaniel,X28973751,1922-01-05,M,Ba-e0f04d97,Barista
Aimee Walker,IWM-81-2331,1970-10-05,F,Sc-275cdaea,"Scientist, audiological"
Alexander Baldwin,F80-45-8474,1923-05-11,M,Mu-5889cb50,Museum/gallery exhibitions officer
James Jones,L698-3437-1547-13,2003-09-18,M,Ad-b51618f5,Advertising account planner
Linda Conner,X81-44-4055,1973-05-29,F,Sh-22ca6c6e,Ship broker
Karen Bailey,11EHJ20136,2000-03-22,F,Su-ad5a9ae0,"Surveyor, insurance"
Bobby Cunningham,S16-783-414,1992-07-07,M,Pu-0744e434,Public affairs consultant
