job,birthday,gender,epid,name,licensenumber
Glass blower/designer,1937-01-03,F,Gl-36253b97,Crystal Dean,82 690 666
Interior and spatial designer,2016-12-18,M,In-a0eaaa6b,Clifford Cruz,K72-67-9373
Science writer,1947-12-26,F,Sc-c55309e6,Lisa Grant,X435-2341-0590
"Geologist, wellsite",1948-09-15,M,Ge-a59baf0c,John Valdez,H88993661
"Designer, jewellery",2012-07-07,M,De-8b27f375,Brandon King,I535-2094-4715-53
Financial planner,1989-07-20,M,Fi-744b9d68,Kenneth Ryan,2216141X
Soil scientist,1949-03-04,F,So-4ca7dc44,Jean Ruiz,WOZTNZS171SO
Restaurant manager,2019-02-16,M,Re-e9757ed0,Timothy Guerrero,L033141699
Health and safety inspector,1916-10-09,M,He-764cb5e7,Jeffrey Stafford Jr.,H52508081
Editorial assistant,1961-03-14,F,Ed-b4cf12be,Sophia Lowe,Y146473
Local government officer,1994-01-30,F,Lo-d36c2615,Jamie Brown,047-51-3146
"Geologist, wellsite",1992-06-01,M,Ge-e44b39e1,Matthew Keller,J347567
Product/process development scientist,1936-03-15,M,Pr-4a14df6b,Tyler Graham,36 175 954
Herbalist,1990-08-18,F,He-f0cfa3e2,Kristin Calhoun,HNJXORN52313
"Radiographer, diagnostic",1928-10-28,F,Ra-f0926beb,Cheyenne Cain,993618651
Psychotherapist,1907-12-10,F,Ps-10ef5d7f,Jenny Weber,233-15-7521
"Scientist, marine",2019-03-13,M,Sc-40ca626d,Clayton Burke,I1008 62721 83495
Agricultural engineer,2010-12-07,M,Ag-1f2080fe,Tyler Gibson,2393530A
Manufacturing engineer,2007-01-20,F,Ma-030411a7,Rachel Daniel,Q 885 198 293 984
"Scientist, physiological",1937-08-08,M,Sc-c2edc833,Nathan Smith,W325-6600-9559
Housing manager/officer,2021-01-22,F,Ho-5006e880,Carrie Mendez,449260185886
Charity officer,1918-10-18,F,Ch-03ed2e0b,Ashley Quinn,139618-619
"Scientist, water quality",2004-03-07,F,Sc-9d064450,Amber Petty,M 876 014 387 610
"Research officer, trade union",1930-02-25,M,Re-6ba35654,William Ayala,M 094 380 292 009
Metallurgist,1934-03-22,F,Me-e7438df3,Shirley Mason,V0903 81888 44540
"Psychologist, occupational",1946-10-21,F,Ps-a1d8800e,Ashley Oliver,N8745524
Immigration officer,1916-03-12,M,Im-51f6d8f7,Jack Oneal,A208-4710-8366
Artist,1920-05-19,M,Ar-92103318,Raymond Barrett,M93-63-8615
Farm manager,2023-04-04,F,Fa-b0a846c3,Kimberly Jones,N6501483
"Optician, dispensing",1916-10-28,F,Op-948275e5,Heather Dunn,QF994520W
Multimedia specialist,1937-07-28,F,Mu-37e30182,Emily Rice,173988242154
Product manager,1990-07-07,M,Pr-7257c757,Jose Owens,775818083
Health and safety inspector,1916-11-12,M,He-de82ee6c,Mark Brock,340NH9493
Health physicist,2002-05-11,M,He-4e3bf939,John Estes,38741729
Field seismologist,2010-07-22,F,Fi-55e512b2,Virginia Bowers,9631-10-6371
Midwife,1939-06-06,M,Mi-2e4b9a69,Michael Ritter,884 339 971
Field trials officer,1975-10-11,M,Fi-a60328c8,Albert Mahoney,347514942438
Sales executive,1908-03-05,F,Sa-85a9d70a,Jennifer Fowler,F499042456
Bookseller,1961-04-19,M,Bo-0cee5c6c,Edward Jones,M38872724
Engineering geologist,1979-08-31,F,En-f06c6d63,Tracy Marquez,61-779-6845
Trade union research officer,1990-07-17,F,Tr-8c4d744a,Kimberly Braun,724130-487
"Teacher, special educational needs",1907-11-02,M,Te-ab2c3659,Justin Cruz,Y51120583
Paediatric nurse,1943-08-17,M,Pa-379d5afb,Jonathan Stokes,T30-955-960
"Surveyor, building",1963-07-16,M,Su-6fc82513,Shane Rogers,126RL4850
"Production designer, theatre/television/film",2000-09-25,M,Pr-aab05839,Robert Wheeler,P6218 76891 91573
"Buyer, retail",1951-11-08,F,Bu-c466e8eb,Denise Shepard,7057762H
Ceramics designer,1972-04-23,M,Ce-70e9c96a,Christopher Rios,H21329764
Translator,1917-08-23,M,Tr-32d7470a,Randy Lin,S6712 25039 64375
Illustrator,1928-04-16,F,Il-b48c6c20,Cassandra Green,3026-19-0565
Site engineer,1967-08-13,F,Si-dbcdead4,Kim Woods,1520577
