name,licensenumber,epid,job,birthday,gender
Stephanie Bauer,U751401747,Re-f07d672a,Research scientist (maths),1925-06-12,F
Jeremy Stewart,8626899,Cl-6483d06f,"Clinical scientist, histocompatibility and immunogenetics",2008-08-05,M
Chad Kelly,96-468-1954,Cl-39823506,Clinical cytogeneticist,2003-01-23,M
Ricardo Johnson,824549723862,De-51d0241f,"Designer, exhibition/display",1920-09-19,M
Sherri Lane,991 584 847,De-c1cfae27,"Designer, exhibition/display",1980-05-12,F
Christine Stanley,206UZ4702,Fu-4b314433,Further education lecturer,1981-09-19,F
Adam Cannon,3813749,In-a0df7f21,Intelligence analyst,1984-11-02,M
Holly Chandler,29272387,Ed-2ac12ba6,"Editor, commissioning",2001-09-20,F
Joshua Arias,N0157 42744 57927,Li-cdb052f3,Licensed conveyancer,1984-08-11,M
Charles Cooper,8837674,Ho-1aaf6eea,Horticultural therapist,1951-10-02,M
Tina Ray,L9997004,In-c6c59c76,"Investment banker, operational",2006-02-17,F
Andrew Wyatt,R615-8145-6342,De-6c5b73ca,"Designer, jewellery",1951-07-23,M
Kirk Martinez,854964172922,El-fa8baf12,Electrical engineer,1982-03-25,M
Joseph Pearson,TO519871Z,Ge-55f33514,Geophysical data processor,1919-09-05,M
Troy Lee,Q95-17-2899,Hi-41fdd1bb,Higher education careers adviser,2001-03-27,M
Robert Tran,911HA9955,Co-9509a39e,"Conservation officer, historic buildings",1954-10-07,M
Cynthia Burke,XS***ZA883YW,Ma-38281ce8,Materials engineer,1923-07-20,F
George Spears,J5979 22024 99977,Pr-ea48fa70,Product/process development scientist,2012-09-27,M
Mary Cooper,137784979100,Ho-906156ac,"Horticulturist, commercial",1953-12-28,F
Robert Obrien,TA454283,Me-0741c3d5,Media buyer,1942-09-14,M
Adam Ramirez,D094134,Pu-c2a9a7e1,Public affairs consultant,2001-02-19,M
Sandra Hernandez,34246956,Su-b3649eda,"Surveyor, land/geomatics",2018-06-17,F
Katie Russell,V0967177,Pu-5f665295,Public affairs consultant,1992-08-03,F
Dylan Lopez,21 311 988,Su-1f6a9c01,"Surveyor, insurance",1923-03-05,M
Steven Rush,I08-089-556,En-26a6375e,"Engineer, electronics",1993-03-04,M
Kyle Bowen,MD164227,Ps-6dee2ec1,"Psychotherapist, dance movement",1917-12-18,M
Cathy Hall,753-40-6420,Pe-96ab530b,Pension scheme manager,2012-09-30,F
Jimmy Huynh,O843-525-10-295-6,Ps-cf84cc5a,"Psychotherapist, child",2003-04-24,M
Phillip Miller,54-797-4376,Im-6c9a643a,Immunologist,2002-08-05,M
Cynthia Wright,H64910270,Th-f3b2f138,"Therapist, horticultural",1943-10-13,F
Michael Yu,01BSF32295,En-12fde62b,"Engineer, land",1954-03-13,M
Mary Williams,68-700-8802,De-4e0c9568,"Designer, furniture",1959-07-18,F
Chad Marshall,VO***EV39126,As-8133c7e6,Astronomer,1968-03-26,M
Jason Singh,AAQ-89-2058,Ch-d3ec90fe,Charity fundraiser,1989-10-27,M
Andrew Austin,W3065355,Fi-4223fa08,Firefighter,1961-06-14,M
Rachael Johnson,8707944,Di-8162a0ab,Diplomatic Services operational officer,2019-10-22,F
Pamela Marsh,FF397430A,Ar-41200ac1,Artist,1986-06-11,F
Clayton Guzman,H21-25-7011,Th-ab700ef3,Theatre manager,1962-09-08,M
Tammy Chan MD,N484-6779-3310,Em-4f606cc5,Emergency planning/management officer,2002-11-17,F
Matthew Davis,139-24-8106,Da-349310a2,Dance movement psychotherapist,2009-08-31,M
Kimberly Cook,956LD8553,He-198a1ae3,Health promotion specialist,1941-12-21,F
Mr. Miguel Murphy MD,X73055603,Pr-67a94538,Product manager,1931-03-09,M
Michael Cowan,E30417749,Qu-5e57ca3e,Quarry manager,1919-12-16,M
Mandy Ibarra,468311140,Bu-89bebf5b,Building services engineer,2005-02-13,F
Lisa Davis,OVE-00-9346,Pu-75d3c583,Publishing copy,1995-02-08,F
Juan Welch,934-80-8928,Me-d034aa0e,Metallurgist,1990-07-06,M
Michael Clark,277-58-2633,Cl-1aa25411,Clothing/textile technologist,1987-08-30,M
Samuel Smith,F207-4263-6028,Re-7596b635,Retail manager,1970-09-17,M
Lonnie Contreras,7989227,Co-2a6b04c2,Community arts worker,1919-04-18,M
Stephanie Anderson,166479439888,Sy-bb89fd5b,Systems developer,1952-09-02,F
