job,epid,gender,licensenumber,name,birthday
Fisheries officer,Fi-9f87b199,M,665380104270,Jordan Mcconnell,1957-10-24
"Doctor, hospital",Do-79ba509d,F,T257-3901-0521,Lori Kemp,1943-10-30
Information systems manager,In-a34fa5ae,M,MR218950,James Baker,1921-09-25
"Engineer, materials",En-dba2ba0f,F,K71-94-5275,Karen Collins,1979-12-23
Meteorologist,Me-d607c205,M,05SQO65188,John Sullivan,1966-11-26
"Conservator, furniture",Co-eb62ede7,F,949499774,Teresa Watkins,1922-03-22
Data processing manager,Da-c59ae9b2,M,910778-390,Gary Rios,1966-06-30
IT consultant,IT-56066d9e,M,U 105 767 543 081,Michael Oneill,2014-07-29
Armed forces training and education officer,Ar-d8d4252d,F,S0583898,Isabel Davis,1990-05-16
Food technologist,Fo-66419de9,F,M126-8409-3623-25,Emily Smith,1976-11-07
Dispensing optician,Di-9c8ee66b,F,XQKFIQO49700,Melissa Howard,1979-10-11
"Teacher, adult education",Te-f98bcd3c,F,BIT-11-9265,Amber Short,1909-09-01
Land/geomatics surveyor,La-c2dda739,M,718399-179,Harry Abbott,1944-03-12
"Journalist, magazine",Jo-ec79cc85,F,M2475505,Valerie Wright,1937-08-02
"Editor, magazine features",Ed-2d33c401,F,129 041 002,Lori Owens,1909-02-08
Mining engineer,Mi-9b489fd2,M,S295-3869-1047-12,John Roth,1956-07-12
"Biochemist, clinical",Bi-cee8bb6c,M,M 093 282 936 395,Michael Sellers,1929-06-11
Electronics engineer,El-5b571916,M,N-133-011-903-739,Tyler Morgan,1978-02-16
Sports development officer,Sp-a2cb714f,F,B-242-828-795-475,Gabrielle Nelson,1984-02-17
"Surveyor, land/geomatics",Su-71d42fc6,F,8636284,Nicole Green,1981-08-14
Museum education officer,Mu-06015afa,M,3511181,Ryan Graham,1922-04-16
Clinical cytogeneticist,Cl-d473ed91,M,K45-93-7920,Ruben Schneider,1977-10-29
Media buyer,Me-68a3cf04,M,WDL3FWYRYQHF,David Curry,1985-02-14
Public affairs consultant,Pu-51f1ce28,F,AQJ-12-3274,Michele Hammond,1908-04-08
Dealer,De-2fc0b739,M,3734810,Ricardo Wyatt,1944-04-23
Advice worker,Ad-068752aa,M,1141397084123,Bobby Ray,1922-11-28
Senior tax professional/tax inspector,Se-8e816de3,F,CB431682P,Jessica Lucas,1979-11-07
Research scientist (maths),Re-eb7a38a4,M,07IEL72319,Randy Moreno,1964-06-17
Actuary,Ac-91e4f405,F,H45-60-1043,Nicole Wilson,1999-02-23
Multimedia specialist,Mu-3d3421f1,F,7074875C,Marissa Martin,1956-03-20
"Conservation officer, historic buildings",Co-f3b09af1,M,J896-0930-8915-98,Kevin Torres,2021-07-06
Tax adviser,Ta-8fd511b1,M,8998-35-6009,Jason Boyd,1990-12-02
Social worker,So-8ff29f5a,F,944416690,Lisa Campbell,1954-10-13
Estate manager/land agent,Es-ffe21f03,F,Z558-8451-8168,Julie Fischer,2022-11-22
Geochemist,Ge-97bfc8b4,F,094 959 708,Megan Williams,1958-07-08
Chartered public finance accountant,Ch-19ea6ec4,M,9273-72-8217,Christopher Mosley,2009-05-23
"Production assistant, television",Pr-a695f4b7,M,J900-041-91-293-9,Zachary Lawrence,1990-05-01
"Scientist, research (maths)",Sc-837a330d,F,V 006 635 098 830,Amy Jones,2020-05-12
Forest/woodland manager,Fo-f2130a75,M,284896-240,Charles Wilson,1963-03-05
Network engineer,Ne-7ccd0fd8,F,8821657,Jasmine Lowe,1994-02-26
"Optician, dispensing",Op-69f0671b,M,797-27-2454,Mark Ramirez,2013-04-23
"Surveyor, quantity",Su-2824a994,M,93 517 439,Joshua Alexander,1934-07-24
Graphic designer,Gr-0800a3b2,F,782QM1840,Christine Gordon,1951-10-13
Industrial/product designer,In-e5d7c602,M,6524-33-3491,Joshua Tucker,1912-04-08
Illustrator,Il-2586ba5b,M,HLZ-24-3698,Scott Murray,1988-08-07
"Geologist, wellsite",Ge-834e86db,M,4665556,Terry Gonzales,1963-12-27
Soil scientist,So-a2bec14a,F,R517-861-79-372-8,Melody Fowler,1992-04-16
"Surveyor, land/geomatics",Su-f109617f,M,AF096058P,Dustin Daniel,2006-11-02
Tree surgeon,Tr-ef382c95,M,N90-603-738,John Jacobs,1968-01-22
Psychiatrist,Ps-c692cbf6,F,WDL5MYE9AF5N,Melissa Brown,1923-08-27
