job,name,birthday,gender,epid,licensenumber
"Doctor, hospital",Mark Mitchell,1947-03-19,M,Do-dd610839,160702029
"Engineer, water",Christopher Nielsen,1981-05-01,M,En-1ec36770,004-69-3636
Therapeutic radiographer,Ryan Hanson,1957-12-08,M,Th-99ed5936,6330644Y
"Psychologist, educational",Andrew Perez MD,1975-07-23,M,Ps-01af6eee,LZE-62-5090
Set designer,Kenneth Hale,1915-08-30,M,Se-d40a5b0c,TCC-97-8544
Paediatric nurse,Amber Hart,1988-05-15,F,Pa-df62e11f,799367962649
"Geneticist, molecular",Christopher Key,1943-04-16,M,Ge-6222c85e,A2539 47876 30321
Plant breeder/geneticist,Shirley Barnett,1924-10-09,F,Pl-fa3353bd,0838832034116
Editorial assistant,Jonathan Simon,1979-04-26,M,Ed-75d6c704,B300-777-30-558-7
Senior tax professional/tax inspector,Joseph Gomez,1947-12-14,M,Se-5356fff3,10VQM23302
Health service manager,Hannah Simpson,1931-01-29,F,He-c83b8c27,H32203010
Land/geomatics surveyor,Yolanda Franco,1950-11-15,F,La-d195a3a4,69 158 103
Horticultural consultant,Melissa Hansen,1965-07-22,F,Ho-aa950f3d,H12896261
Public librarian,Angela Robertson,1971-09-03,F,Pu-ef08f7e5,K429-3453-5358
Arts development officer,April Serrano,1956-04-06,F,Ar-5cdcd915,096120993640
IT sales professional,Sara Hughes,1975-07-06,F,IT-fb0bbc1d,4665452Y
"Conservator, museum/gallery",Samuel Wagner,1922-05-05,M,Co-8c0b1f1b,F12157727
Clinical psychologist,Logan Matthews,2013-02-21,M,Cl-459c340a,706 090 340
Hospital pharmacist,Robin Herman,1984-05-13,F,Ho-2a3b228b,Z705594320
Media buyer,Samantha Mckay,1967-06-18,F,Me-e963339f,YT400590
Medical secretary,Colleen Bryant,1938-05-29,F,Me-45c2de00,WDLY1OTVJOEN
Counsellor,Robert Gilmore,1925-03-21,M,Co-bb43d4f9,91330661
Diplomatic Services operational officer,Erin Sweeney,2012-11-24,F,Di-3cff2509,8503000
Data scientist,Connor Rhodes,1926-03-08,M,Da-5caf1533,591-78-3812
English as a second language teacher,Robin Martinez,1999-09-02,F,En-c6dfb9af,6046642
Lawyer,Lindsay Jefferson,1942-10-19,F,La-577786cc,D5359 32702 45842
"Education officer, environmental",Nichole Wilson,1958-06-16,F,Ed-f2aa3c4f,BL958660
Arts administrator,Steven Diaz,1974-07-20,M,Ar-97ab6f97,X237080382
Commercial/residential surveyor,Jesse Moody,1913-09-18,M,Co-908777fd,Q612396704396
Print production planner,Kimberly Cooper,1968-06-21,F,Pr-e669b77b,20 441 532
"Psychologist, counselling",James Cisneros,1919-07-11,M,Ps-bf06a235,IL380170
Teaching laboratory technician,Juan Daniel,2007-05-23,M,Te-d724dda0,Z031836195
Mechanical engineer,Pamela Moore,1973-03-07,F,Me-b44839b9,F315111
"Engineer, agricultural",Edward Smith,1938-06-30,M,En-fe24b727,83-793-4473
"Surveyor, commercial/residential",Emily Roberts,1919-12-11,F,Su-ff3365db,06PAV97052
"Teacher, early years/pre",Chad Davidson,1982-04-25,M,Te-376bf451,X968-3060-2398
Arts development officer,Kaitlyn Watson,1946-02-01,F,Ar-8755eceb,464KS5511
Historic buildings inspector/conservation officer,Leah Davis,1912-09-27,F,Hi-dd655bdc,OXF-05-6304
Financial adviser,Denise Baker,1991-12-01,F,Fi-6de7ef69,YQ916057T
Logistics and distribution manager,Linda Waller,1959-01-17,F,Lo-906a0048,L694-5039-3054-04
"Psychologist, occupational",Patrick Cardenas,2016-04-27,M,Ps-c5bec502,X-736-311-909-755
Fashion designer,Tiffany Tate,2018-09-02,F,Fa-4c82d1e6,88087231
Equities trader,Spencer Harrison,1977-09-29,M,Eq-fb73f704,GL699033U
Historic buildings inspector/conservation officer,Kimberly Wagner,1965-02-05,F,Hi-dfda0c37,R 355 198 086 214
Intelligence analyst,Courtney Holmes,1981-10-05,F,In-e990eb9b,Y438-4534-9552
"Development worker, international aid",Gwendolyn Livingston,1927-07-08,F,De-9c499a9e,0176458394101
Systems developer,Renee Gray,1983-06-10,F,Sy-83bd89df,8220-42-7335
Associate Professor,Matthew Meyer,1951-02-03,M,As-b03ae27e,DMW-22-2401
Arts administrator,April Stanton,2003-04-30,F,Ar-f823c13d,8927-68-5654
Pensions consultant,Jennifer Fisher,2014-03-01,F,Pe-7bde7bf0,T106572861063
