birthday,job,name,gender,epid,licensenumber
1917-10-01,"Education officer, museum",Vanessa Shelton,F,Ed-dfb30bd2,84-035-6207
1919-07-01,Accounting technician,Madison Campbell,F,Ac-058b5d76,349156190563
1981-11-26,Neurosurgeon,Brian Jordan,M,Ne-6addba68,75036307
1993-08-28,Technical brewer,Tiffany Mendez,F,Te-5ce86d84,H88396394
1975-03-23,Curator,Katherine Campbell,F,Cu-60f07381,RRUTOLB08219
1993-03-22,Colour technologist,Veronica Garcia,F,Co-3830ab35,967166378
1912-10-10,Press sub,Beth Thomas,F,Pr-ab4f273c,Y964-1378-2794-88
1916-03-15,Stage manager,Lisa Matthews,F,St-ed8d1a6f,V68518407
1926-06-18,Field seismologist,Kenneth Thomas,M,Fi-1ddbb6f1,481287-895
1940-12-28,"Optician, dispensing",Katherine Benitez,F,Op-3ab05c9a,636BI8400
1950-12-30,Jewellery designer,Lisa Richards,F,Je-b34fd68e,32-180-3710
1981-12-29,Adult guidance worker,Tonya Merritt,F,Ad-453a6de4,6340-75-1069
1988-02-15,Radiation protection practitioner,Scott Stevens,M,Ra-a4e486ec,V109-5570-8511
1927-02-27,Stage manager,Michael Miller,M,St-f837f8aa,7092070R
1935-04-18,Rural practice surveyor,Tyler Richmond MD,M,Ru-518a9848,39 300 368
1972-06-17,Art therapist,Eric Kline,M,Ar-dc31fcde,H16985295
1924-01-26,"Scientist, audiological",Courtney Holt,F,Sc-9c98b9aa,1060343424115
2009-02-08,Soil scientist,Susan Bray,F,So-809e9f50,X1310240
1962-02-24,"Therapist, speech and language",Matthew Lee,M,Th-dbbdea94,512437820315
1911-08-20,Licensed conveyancer,Crystal Jackson,F,Li-684a45c5,041-61-0247
1943-10-12,Social worker,Melanie Jones,F,So-4df33b76,J548-4434-1782
2016-10-21,Brewing technologist,Emily Hall,F,Br-d20974a4,5101478
1990-12-24,Immigration officer,Pamela Ingram,F,Im-42f85206,3469893
1996-11-08,Barrister's clerk,Kimberly Travis,F,Ba-75129dfc,0197595164131
1937-04-06,Sub,Robert Boyd,M,Su-ecd84f3d,H10628587
1939-03-21,Structural engineer,Todd Evans,M,St-9ede5c8e,331112098
1918-06-25,Colour technologist,Joseph Mills,M,Co-06bb943c,221 868 261
1976-12-09,Claims inspector/assessor,Michael Howell,M,Cl-6bfc36eb,732 879 613
1963-02-04,"Librarian, academic",Jennifer Love,F,Li-a3442bcc,ECH-60-3181
1963-05-23,Dietitian,Lisa Powers,F,Di-9c4a573a,0377051124118
1928-03-03,Sports therapist,Miss Jennifer Brown MD,F,Sp-1a65b3b5,29-139-3500
1980-05-14,Multimedia programmer,Patricia Spencer,F,Mu-ce962ab8,WDLULIYJK6WH
1943-10-25,Media planner,Keith Flores,M,Me-805c4800,VE236036K
1976-07-01,Garment/textile technologist,Adrian Hunter,M,Ga-fec6028a,OJ941649V
1979-11-12,Social worker,Kaitlyn Taylor,F,So-0003fab2,5425881
2008-05-28,Social worker,Dana Dominguez,F,So-eee712d8,KJJ**XO157EO
2004-09-07,Photographer,Andrew Sullivan,M,Ph-452e21bd,E689361
1917-04-08,Biomedical scientist,Zachary Joyce,M,Bi-9f13c36d,C341976985652
1910-03-20,Teaching laboratory technician,Paul Lee,M,Te-f605ce00,R 057 972 869 154
1956-10-07,Air traffic controller,Aaron West,M,Ai-3fe35468,H08916884
1989-10-21,Occupational therapist,Samantha Wilkins,F,Oc-65f903e9,431443542225
1910-07-07,Associate Professor,Kelly Ramirez,F,As-37aa5189,388753-398
1948-12-30,"Loss adjuster, chartered",Nathan Wilkinson,M,Lo-41585c09,547586062892
2023-02-02,Environmental health practitioner,Frank Marsh,M,En-891c3edf,934361909
2013-06-10,Technical brewer,Daniel Haynes,M,Te-892b417d,3084079
1976-05-09,Chief Strategy Officer,Ruben Wells,M,Ch-5db7001a,W6521398
1968-03-22,Learning disability nurse,Sabrina Long,F,Le-a9f00a9b,7240737F
1929-08-22,Psychiatrist,Robert Bauer II,M,Ps-b6749020,IY040414
1947-06-29,Actuary,Rebecca Graham,F,Ac-97077d7d,Q2329 14127 65282
1956-06-23,Adult nurse,Nicholas Travis,M,Ad-cd893168,1232164214108
