birthday,licensenumber,job,gender,epid,name
1920-08-27,O96494061,"Teacher, music",M,Te-3ac34723,Mr. Brian Porter
1959-07-08,6452251,Herbalist,M,He-f15754a0,Mr. Roger Herrera
1944-08-29,UV***SF168YE,Diagnostic radiographer,M,Di-d74ccc38,Joseph Young
1988-09-14,04EPR57265,"Surveyor, hydrographic",F,Su-599d67cc,Angela Smith
2023-04-23,S768016,Podiatrist,M,Po-aa1281cf,Justin Walker
2011-01-27,UE***EU2168M,Corporate investment banker,M,Co-518aabc1,Keith David
2004-11-28,W59525001,Photographer,F,Ph-5a3bb613,Alicia Perez
1943-07-18,K920317,"Engineer, mining",F,En-03707c43,Peggy Andrade
2009-07-05,H37408279,Commissioning editor,F,Co-f6d821fb,Kelly Diaz
1984-10-18,450935571201,"Surveyor, planning and development",M,Su-631a9f98,Nathan Wright
2011-02-18,X 911 000 584 122,"Engineer, water",F,En-82352328,Jacqueline Miller
1940-06-01,667692-806,Structural engineer,F,St-a274baf1,Emily Crane
1949-02-21,IQ915300,Horticultural therapist,F,Ho-2c2c58df,Lisa Hammond
1926-01-28,A409-7062-2249-18,Theatre manager,M,Th-4e38ea27,Kirk Klein
1920-12-29,S155-2208-6904,Learning disability nurse,M,Le-5de967d7,Elijah Webb
2004-03-12,9171408,Research scientist (physical sciences),M,Re-0813dcc6,Aaron Johnson
2004-01-12,A134-2993-4001-96,"Civil engineer, contracting",M,Ci-ab7e9153,Rickey Richardson
1920-04-06,07FAW80314,Higher education lecturer,F,Hi-a88f1d27,Tricia Hardy
1918-04-27,3334-81-1992,Dancer,M,Da-496d5b4e,Sean Owens
1931-01-23,92 845 693,Historic buildings inspector/conservation officer,F,Hi-89eb1c40,Kim Sanders
2010-07-15,646 490 442,Curator,F,Cu-75188e91,Melissa Leonard
2013-04-14,M 247 124 801 207,Financial adviser,F,Fi-ff8af66f,Sandra Nguyen
2013-07-05,W45-165-551,Corporate treasurer,F,Co-14e676eb,Lisa Monroe
1931-04-15,Q057704,Sports coach,M,Sp-8a460621,William Wall
1922-07-07,K86-46-3241,"Production assistant, television",M,Pr-62264003,Justin Ward
1923-09-08,T092370682,"Engineer, mining",M,En-5123f07d,Anthony English
2005-10-17,87-608-0835,Air traffic controller,F,Ai-95facc29,Jessica Barnes
1931-05-24,05-805-2984,"Scientist, physiological",M,Sc-1100db6d,William Garner
1970-08-20,WM822162,Neurosurgeon,M,Ne-579829f8,Joseph Owens
1969-08-26,W104053,Jewellery designer,F,Je-1c01ac29,Jacqueline Holder
1916-05-16,87373921,"Engineer, building services",M,En-13dfedb1,Scott Bradley
1986-06-12,F16770476,Careers information officer,F,Ca-4b5efbd1,Chloe Anthony
1974-07-17,OIQ-23-9482,Pension scheme manager,F,Pe-63430da3,Beth Kim
1992-12-15,7519873,Museum/gallery conservator,F,Mu-4a944355,Amanda Hogan
1994-11-28,377909533710,Make,M,Ma-2ef739d6,Jeffrey Miller
1971-04-25,974068966,Special effects artist,M,Sp-ae84f4ee,Roberto Wiggins
1919-03-20,T162-7060-0115-96,"Scientist, audiological",M,Sc-6acb28f3,James Ray
1935-03-23,N972-129-35-269-6,Chief Executive Officer,M,Ch-3c2a8eeb,Adam Rush
1985-12-15,020-38-1556,"Engineer, electrical",F,En-d1db0d66,Brandi Wilkins
1938-09-09,V694805935791,Community arts worker,M,Co-3c0c95e8,Bradley Brandt
1980-03-28,WDL5MYR19XF4,Higher education lecturer,F,Hi-b4f64718,Andrea Hale
1926-08-19,2043-97-2700,"Education officer, community",F,Ed-9c247ca0,Gloria Washington
1911-11-07,018547183732,Pharmacologist,F,Ph-57114f12,Erika Harris
1921-10-24,858-68-1787,Armed forces operational officer,F,Ar-e7287db9,Jennifer Gray
2017-03-12,LNF-54-8553,Dance movement psychotherapist,M,Da-5dc37535,John Mueller
1940-11-03,I-713-334-525-869,Aid worker,M,Ai-c6a4bdb8,Christopher Higgins
1965-07-05,M4950170,Social worker,M,So-10b52f25,William Strong
1970-06-03,X183-6948-8577-75,"Radiographer, therapeutic",M,Ra-48edd653,Theodore Butler
1988-01-06,8308740,Psychotherapist,M,Ps-63f6f8de,Kenneth Duke
2013-07-26,90 437 546,"Nurse, adult",F,Nu-68097787,Denise Jackson
