job,epid,licensenumber,birthday,name,gender
"Surveyor, building",Su-54192480,HO346663,2018-04-01,Brent Garcia,M
Economist,Ec-19e92690,3029-72-3911,1972-01-09,Robert Ward,M
"Social research officer, government",So-0f99a07f,095832844,1947-10-03,Kelly Cox,F
Medical technical officer,Me-f72043ef,J110766,1927-04-05,Jonathan Nguyen,M
"Scientist, physiological",Sc-c7eaef10,F 492 463 439 874,1986-10-01,Elizabeth Dennis,F
"Designer, ceramics/pottery",De-022092df,O653765584948,1939-06-21,Norman Novak,M
Counselling psychologist,Co-98bdaf11,K84-12-9338,2021-06-06,Crystal Andrews,F
Ambulance person,Am-828705f3,L1117 39432 94343,1929-02-14,Susan Sampson,F
Recycling officer,Re-6df8cce8,608894818,2009-11-28,Jacob Patrick,M
Television production assistant,Te-28d9939b,P75745461,1940-03-26,Katrina Duncan,F
Forensic scientist,Fo-87cde210,547YB4981,1983-10-31,Charles Gutierrez,M
Camera operator,Ca-8105b4e7,R883-635-43-646-9,1916-01-16,Karen Smith,F
Ergonomist,Er-fc081a45,YFV-46-7240,1910-05-26,Samantha Warren,F
Sub,Su-5c80136c,PPZ-75-3934,1963-09-04,Eric Ingram,M
Environmental manager,En-6a94b1cf,2627136,2002-04-03,Jennifer Paul,F
Veterinary surgeon,Ve-c47bd524,924528-200,1915-03-10,Holly Waters,F
Hospital doctor,Ho-0009055c,C951-698-42-613-8,1969-02-11,Scott Rowland,M
Systems analyst,Sy-5e09d706,CEF-78-3087,1997-12-20,Jeanne Walker,F
Firefighter,Fi-e4f662da,EJ149956O,1962-12-21,Amber Harmon,F
Radio broadcast assistant,Ra-cd91b647,9176-83-4259,1966-04-19,Sharon Andrews,F
Consulting civil engineer,Co-395ab358,4384756Y,1939-08-23,Victor Thomas,M
Information systems manager,In-c2446235,1015371294130,1957-06-18,Robert Snow,M
Therapeutic radiographer,Th-f3c3c744,11GHL49035,1999-04-11,Victor Nash,M
Theatre director,Th-efe3a929,4746441,1993-12-13,Kristie Banks,F
Transport planner,Tr-75380cef,Q862-7797-9696,1917-04-13,Carol Cross,F
Wellsite geologist,We-e62e4803,1359019,1976-01-14,Stacy Delacruz,F
Manufacturing systems engineer,Ma-a11c6b81,W-037-653-412-824,1944-12-22,Matthew Thompson,M
Graphic designer,Gr-ae78d81a,H36239189,2022-12-30,Jennifer Wright,F
Customer service manager,Cu-a04ecfda,927-71-5547,1916-09-05,Tanya Baldwin,F
Industrial/product designer,In-d02b9708,O006-3066-5294,1967-08-19,Dustin Rasmussen,M
Financial trader,Fi-358f0f26,03CSR17204,1936-09-05,Scott Johnson,M
Hospital pharmacist,Ho-48f3485f,C 962 909 974 484,2004-05-13,William Gallagher,M
Audiological scientist,Au-46672ba3,1071986664125,1967-11-12,Melissa Ross,F
Dentist,De-4ee2cfe6,DP288943M,1959-10-11,Glen Campbell,M
Call centre manager,Ca-b20367b4,XI368741D,1966-09-23,Eric Kelly,M
Music therapist,Mu-0c8c7f85,415381869,1948-01-09,Melissa Chen,F
Clinical biochemist,Cl-95730ab0,311713812,1931-07-08,Guy Chapman,M
Plant breeder/geneticist,Pl-431fc0ff,2161-72-1281,1998-02-15,Ann Mcknight,F
Naval architect,Na-62989e6a,A777-172-79-481-9,1974-10-17,Francisco Smith,M
Transport planner,Tr-e44c36d9,T03552187,2002-10-01,Margaret Phillips,F
"Nurse, adult",Nu-134b59dc,XPK-33-3524,1995-09-10,Angela Ramirez,F
IT sales professional,IT-f2ea6d87,A628576373600,1950-06-26,Jessica Fox,F
"Surveyor, planning and development",Su-8b37d47a,0951181344131,1977-10-16,Jennifer Carroll,F
Colour technologist,Co-2e5204b4,K81-71-5439,1979-02-04,Wendy Davis,F
Technical brewer,Te-f79293c2,978086806,1997-04-18,Adrian Green,M
Dietitian,Di-b77adfbc,G315959,1986-04-10,Mark Brown,M
Local government officer,Lo-07c8dce3,9496-90-1781,2007-02-09,Christopher Phillips,M
Clinical cytogeneticist,Cl-6ce0848c,K82-98-1442,1923-08-08,Lee Clark,M
Accommodation manager,Ac-8680082e,287206260,1931-06-23,Cynthia Duncan,F
Systems developer,Sy-5c87c146,H90713383,1988-03-31,Frank Daniels,M
