licensenumber,birthday,epid,gender,name,job
30924403,1936-01-19,Ps-93454864,F,Yesenia Luna,"Psychologist, forensic"
B25-569-237,2015-01-10,Co-79b2c4ff,M,David Martinez,Counsellor
Y132432388496,1946-10-12,In-90886c8e,M,Benjamin Reid,Industrial/product designer
T410082154,1970-12-20,Es-0f38ac4b,M,Taylor Harris,Estate manager/land agent
T 232 545 721 438,1939-04-15,Pr-e679e63d,F,Pamela Carlson,"Production assistant, radio"
P041-9600-3183-51,1915-01-16,Te-ce5ad18e,M,Samuel Martinez,"Teacher, English as a foreign language"
4485669,1982-07-04,Pu-235e0206,M,Patrick Sosa,Public relations officer
485XL2549,2005-01-23,Pr-dd5aba47,M,Nicholas May,"Programmer, applications"
H15085104,1926-10-03,Ba-cf6819c8,F,Courtney Nelson,Barrister's clerk
B434202880878,1913-05-29,Ho-1336517a,F,Melinda Turner,Hotel manager
90-506-5417,1957-12-17,Te-811b0379,M,Ryan Evans,Television/film/video producer
970645799,1933-05-23,Ai-dc0de317,M,Gregory Cervantes,Airline pilot
58 386 114,1933-03-11,Ho-21747627,M,Anthony Coleman MD,Housing manager/officer
A-649-334-382-149,1955-02-14,Co-ff6ed2f0,F,Samantha Clark,Counsellor
K509221,1957-03-13,Te-76e7b744,F,Alexa Stewart,Teaching laboratory technician
5177551,1931-07-01,Da-4477825a,F,Chelsea Robertson DDS,Dancer
457228085,1928-11-22,Ci-de5e0775,M,Stephen Garrett,"Civil engineer, contracting"
K31-39-4616,1997-01-21,En-c4e1c218,M,John Bell,Energy engineer
PVV-68-9442,2006-05-08,Ch-d586d058,M,Jason Wilson,Chiropractor
I871299342,1998-10-09,Pl-4acd8350,M,James Navarro,Planning and development surveyor
T54109622,1929-11-30,Co-7c70ea0d,F,Susan Payne,Commissioning editor
S19-37-2875,2000-03-08,Te-949ff277,M,Mark Sanchez,Textile designer
WDLLP44DWW4R,2020-11-02,He-d960cbff,F,Nancy Cortez,Health and safety inspector
5975633B,1917-06-09,Da-58c6e2a6,M,Darrell Smith,Data processing manager
255FM0884,2015-09-12,Di-d5c1101c,F,Deborah Benson,Dietitian
IS312049V,2015-09-02,Da-0f02e26b,F,Jessica Monroe,Database administrator
GW460825,2012-04-28,Se-940632b4,M,Alexander James,Set designer
767YU9559,1954-10-13,Ex-f80db720,M,Michael Rogers,Exhibition designer
WDL58XF13DZC,2022-07-19,Pr-926d9fb8,M,Jacob Alexander,Prison officer
K773201,1918-05-12,Ch-6cc29752,M,Steve Vance,Chartered public finance accountant
9548086,1910-09-10,Sc-b57de70b,F,April Jones,"Scientist, research (physical sciences)"
354715-207,1919-09-01,Hi-2a0095b4,M,James Pitts,Higher education careers adviser
5759844Z,1962-07-16,Ga-d1752000,M,Joe Austin,Garment/textile technologist
89-969-3536,1985-08-26,Hy-4902ecdd,F,Michelle Copeland,Hydrologist
46-443-0335,1928-09-04,Pu-24efc229,M,Joseph Lester,Publishing rights manager
05HQB39260,2011-08-18,Te-f4223771,F,Melissa Ellison,"Teacher, secondary school"
241-38-9744,1956-05-08,Th-6c3b4475,M,Joseph Horton,"Therapist, speech and language"
H71690362,1956-05-13,Wa-aac2a86d,F,Amanda Morales,Waste management officer
3682896,1959-02-19,So-4b153bde,F,Alexandra Mejia,Soil scientist
D698-0697-1344-13,1934-10-11,Pr-3849df29,F,Gina Wallace,Product/process development scientist
WDL15BXH16XR,1942-02-14,Ac-14ebc38e,M,Maurice Wilson,Accounting technician
D83-660-589,2013-09-08,Su-ed9bd5fa,M,Douglas Mason,Sub
121295132,1971-12-22,Se-4526fcff,F,Emily Gonzalez,Seismic interpreter
D470-5072-8598,1926-07-10,Ra-fb5863fb,F,Kristi Young,"Radiographer, diagnostic"
P856239,1915-11-16,Ge-2aa867a9,M,Lance Waters,Geophysical data processor
L177-314-64-762-5,1928-09-12,Co-4c1a049e,F,Melissa Cowan,Commissioning editor
M4866 37846 32462,1949-01-22,So-e5a4b095,M,Andrew George,Software engineer
FMQ-81-2967,2020-08-25,Br-32d943c6,M,Ronnie Miller,Broadcast journalist
6198-62-7677,2019-02-22,Co-1c0720f7,M,Donald Johns,"Conservation officer, nature"
4752-19-5249,1945-01-24,Pr-c8257caf,M,Andrew Ellis,Press sub
