job,birthday,gender,epid,name,licensenumber
"Teacher, primary school",1931-12-03,F,Te-6ca22b2f,Annette Guzman,E61-834-600
"Designer, multimedia",2010-03-17,M,De-adad7e64,Joseph Jacobs,03528886
"Pharmacist, community",1995-10-24,F,Ph-085ba516,Lisa Thompson,1150891114124
Dancer,1943-12-10,M,Da-0c64738c,Timothy Wolfe,Y32-404-255
"Engineer, production",1920-11-11,M,En-cf551aff,Oscar Hoffman,Z95-95-1046
Insurance underwriter,1973-02-18,M,In-3621d4f0,Daryl Matthews,H68351950
Community development worker,1941-07-28,F,Co-e08ecc06,Kelsey Collier,R948-746-42-466-3
Senior tax professional/tax inspector,1995-09-27,M,Se-9fe3c5b9,Mitchell Ponce,601238-863
Fashion designer,1940-11-14,F,Fa-daead8ac,Stephanie Greer,50 281 836
Geographical information systems officer,1999-06-15,F,Ge-f5f4364c,Shannon Weiss,1183199874127
Data scientist,1950-08-14,M,Da-d18da7a1,Mark Palmer,T 571 042 577 833
"Editor, film/video",1985-01-24,F,Ed-041f45ad,Jennifer Allen,F89-65-9777
Adult guidance worker,1960-07-23,F,Ad-bf1f24a9,Caitlin Andrade,H91397041
Geophysical data processor,2023-05-23,M,Ge-82eb1e76,Keith Stein,5191245
"Surveyor, quantity",1997-11-23,M,Su-8e369d14,Brian Rose,033796365365
"Engineer, electrical",1920-08-14,M,En-d489f08d,Lawrence Wong,Q733-0772-5932
Forensic scientist,1936-10-04,F,Fo-85cf1a97,Sarah Thomas,P-428-134-944-793
Music therapist,2004-08-23,F,Mu-00545116,Kristina Huber,655935883
Geophysicist/field seismologist,1957-12-29,F,Ge-6b310d80,Tara Fritz,02DBH64150
Hotel manager,1989-05-18,M,Ho-59e78986,Darrell Ferrell,0860-88-4541
Applications developer,1993-01-25,F,Ap-a839c01f,Cindy Lopez,I805504311
Airline pilot,1915-02-18,M,Ai-45ee105b,Wayne Fleming,WALQJVN427E8
Academic librarian,2005-06-09,M,Ac-db9913f0,John Garza,D596-0132-0765-02
Hospital doctor,1990-08-27,F,Ho-7dc9cdb9,Kimberly Baker,O55-62-1725
Archaeologist,1997-09-08,F,Ar-7f288fb8,Debbie Scott,K80-01-3525
"Scientist, water quality",1966-03-21,M,Sc-63173a26,Joseph Harris,9162-70-8748
"Therapist, speech and language",1999-04-02,F,Th-55aa1cfc,Lauren Ross,K34-39-9915
Marine scientist,1936-06-17,F,Ma-c8dae761,Brandi Hickman,RF727494B
Mechanical engineer,1993-02-01,M,Me-d0732fec,Paul Wood,Q58-15-3109
"Surveyor, mining",1945-10-16,F,Su-9213f53a,Christina Garrett,918561625
Chief Financial Officer,1993-11-01,F,Ch-f265887f,Nancy Morris,H82774290
"Journalist, broadcasting",1973-09-18,M,Jo-62af50e3,Stephen Evans,X665382
Herbalist,2018-02-26,F,He-fe62fb0c,Molly Lee,931000-520
"Education officer, community",2000-04-09,M,Ed-d856d621,Adrian Cooper,034594830
Academic librarian,1930-11-16,M,Ac-af680e45,Mario Jackson,H-188-692-719-064
Private music teacher,1993-09-17,F,Pr-9cc82f32,Charlene Simpson,X874767573689
Interpreter,1923-06-10,F,In-dfdcf459,Christy Gonzalez,D03-24-8909
Chief Strategy Officer,1965-01-07,M,Ch-ae6f8442,Michael Hines,367104-456
Data scientist,2017-08-29,F,Da-db3147de,Michelle Johnson,U3510 82254 01371
Medical technical officer,1954-11-09,F,Me-f983ca4c,Patricia Gonzalez,2053-10-8211
Environmental consultant,1927-10-11,M,En-fd7e0d68,John Herrera,N41687112
"Loss adjuster, chartered",2007-11-23,M,Lo-e8377c29,Jose Jensen,02-729-2299
Astronomer,1972-05-11,M,As-c0d30405,Scott Meyer,WDLGYNEPVPEF
Advice worker,1942-03-11,M,Ad-465c3672,David Mason,LW692478
Nutritional therapist,2015-04-06,F,Nu-3ab0b7d3,Meredith Lee,968995430
Paediatric nurse,1975-12-23,F,Pa-e4829534,Kristina Bryant,T253-7392-4566
Operational researcher,1974-05-17,M,Op-b1bc02a5,David Walker,925620703955
Therapeutic radiographer,1917-02-03,M,Th-c2f5a55c,Daniel Brown,259960-132
Banker,1926-07-30,F,Ba-6a830282,Linda Woodard,GY164904Q
Early years teacher,1992-05-20,M,Ea-05b84c3d,Jonathan Sharp,Q570983678254
