job,licensenumber,birthday,name,gender,epid
Naval architect,P701465385251,1991-07-07,Matthew Robles,M,Na-a68d0e7d
Animal nutritionist,529 535 087,1918-05-17,Jeffrey Chapman,M,An-af2e04e9
Brewing technologist,IOT-18-5700,2003-04-21,Mark Tran,M,Br-d7c28840
"Surveyor, building",470912143682,1976-10-04,Cindy Hudson,F,Su-bf93e0dd
Health service manager,1081635964108,1934-04-03,Taylor Brown,F,He-a8d2e222
"Surveyor, insurance",H88328878,1958-11-10,Kyle Peterson,M,Su-4223f495
Chief Operating Officer,973375792,1998-07-09,Adam Boyd,M,Ch-bd2a2042
Environmental education officer,54928510,1999-10-15,Jamie Stein,M,En-b90cbe1f
Bookseller,F247234728,1927-02-13,Patricia Wise,F,Bo-f00bb222
"Sales professional, IT",932803999,1962-11-06,Shawn Jackson,M,Sa-0104a1da
Public librarian,1097390954131,1917-02-10,Jeremy Rogers,M,Pu-445a1375
"Teacher, primary school",R66-37-3958,2002-03-12,Michael Reynolds,M,Te-76c160a1
Ecologist,3713-32-9411,1967-11-02,Tommy Weaver,M,Ec-2ba2c69d
Geophysical data processor,552540493,1943-07-13,Mary Thornton,F,Ge-e48723af
Licensed conveyancer,4342526,1974-12-11,Mary Nelson,F,Li-ca5f9304
Race relations officer,J5337525,1984-07-13,Brian Kelly,M,Ra-19fa05fc
"Designer, textile",287843126,1943-09-06,Larry Simmons,M,De-ec05a222
Associate Professor,664EB0858,1974-08-21,Carolyn Navarro,F,As-6bbb085a
Pharmacologist,KBDTZNW5503V,1945-05-17,Natalie Anderson,F,Ph-b9688f21
"Conservation officer, historic buildings",09OYP15040,1983-05-05,Lindsey Howard,F,Co-c40aea3b
Sports therapist,GX873672,1982-02-27,Danny Perez,M,Sp-ed237199
Technical brewer,N3546873,1948-10-20,Barry Williams,M,Te-c0c17d01
Fine artist,67 690 277,1907-11-07,Robin Gonzales,F,Fi-da2c7f8d
Estate agent,T313644526,1927-06-28,Andrew Jackson,M,Es-339dbeca
"Engineer, building services",4544656,1937-10-16,Thomas Mills,M,En-bfd14d79
Accounting technician,F17019119,1998-11-06,Melinda Stephens,F,Ac-01dc28ab
Ecologist,864 841 536,2002-04-26,Kimberly Massey,F,Ec-89298881
"Accountant, chartered certified",T22-13-9082,1985-10-20,Kyle Roth,M,Ac-a9fce78f
Education administrator,498513-875,1912-09-19,Alejandro Robertson,M,Ed-36c2fa17
Community arts worker,0333538734116,1990-03-08,David Roberts,M,Co-4f2d4008
Tourist information centre manager,6941971,1999-03-11,Dawn Young,F,To-ae8d0b55
Historic buildings inspector/conservation officer,E726-2261-6769,2006-07-21,Michelle Garrison,F,Hi-7c0aee7d
Electrical engineer,5603453T,1910-08-22,Sara Stephens,F,El-1dfc5061
Retail manager,212111-311,2012-10-28,Sarah Anderson,F,Re-07c18548
Dancer,70 520 032,1998-05-23,Mckenzie Valdez,F,Da-e980e985
Research scientist (medical),FC070920I,1987-10-27,Laura Jenkins,F,Re-eb10c9ed
"Biochemist, clinical",U395-661-32-381-7,1990-08-23,Denise Frazier,F,Bi-f4abf992
Translator,M88112421,1927-07-02,Johnny Thompson,M,Tr-cb03abb1
Software engineer,6771025,2007-10-23,Lauren Tran,F,So-48ce060e
"Pharmacist, community",G113-1724-4110,1971-07-28,Calvin Allen,M,Ph-c2c0ab01
Clinical cytogeneticist,5682952,1944-01-13,Morgan Lucas,F,Cl-02649d57
Curator,11NAA20169,1971-04-18,Maria Gregory,F,Cu-b5cffef1
"Psychologist, educational",A95345671,1979-05-01,Tony Hubbard,M,Ps-a0e1829a
Dietitian,WDLM1N48B7DV,1916-04-06,Jennifer Cruz,F,Di-62edcdd9
"Engineer, maintenance",DJ785846,1973-07-03,Cindy Bradley,F,En-a693f0de
Chief Technology Officer,K888786,1957-06-25,Tanner Wilson,M,Ch-e3193d74
Quality manager,N 701 702 286 381,2007-04-16,Jodi Wilkinson,F,Qu-c40b7d41
Barista,7418026,1991-05-27,Natasha Woods,F,Ba-b93ff4d9
Tree surgeon,2921-97-2989,2020-06-05,Andrew Black,M,Tr-0e9ad709
Television floor manager,BB566235,1947-10-17,Katherine Owens,F,Te-be7a2173
