gender,epid,licensenumber,name,birthday,job
F,Co-a0cfe479,I-356-376-360-730,Kathy Sanchez,2013-08-04,Community development worker
F,Se-b7a2143d,11320253,Rebecca Rose,1909-10-19,Secondary school teacher
F,Di-144d9a4f,Y504-661-48-937-8,Tracey Hansen,1915-03-15,Diplomatic Services operational officer
M,Pr-05666491,FO739356,Brian Smith,1914-06-28,"Programmer, systems"
M,Lo-85001e4b,R386984,Nicholas Hendricks,1915-02-03,Local government officer
F,Su-114d25b2,11GAW24236,Sherri Fuentes,2007-04-03,"Surveyor, planning and development"
F,De-e973b085,T328-4951-9854-26,Donna Cohen,2010-05-27,"Designer, television/film set"
F,Di-c821d9ec,08XRI85044,Ashley Short,1932-08-29,Dietitian
F,Re-8c4c409b,VPY**OI350LA,Mrs. Emily Ray MD,1946-08-13,"Research officer, political party"
M,Ch-49e55aa8,C485-5123-2646,Sean Brown,1942-06-14,Chiropractor
M,Ho-a9a1c8ef,P1196 28354 12287,Jason Rose,1919-02-25,"Horticulturist, commercial"
F,Pr-7d9b35a9,40-329-9740,Jane Butler,1949-03-15,Professor Emeritus
M,Sc-b5179bff,4361-49-5494,John Torres,1965-08-10,"Scientist, physiological"
F,Ph-6b10e70a,0006850,Laura Soto,1997-01-19,Physiotherapist
M,Pu-78d93b60,WDL6RAEI9GFC,William Berry,1999-04-05,Public house manager
F,Ch-5504694f,P09398609,Paula Morgan,1940-06-08,Chief Operating Officer
M,Tr-4c7cee2b,H74505656,Kevin Downs,1973-10-05,Trade union research officer
M,Sc-954ceac6,EYCH*AV613QU,Kevin Jackson,2019-05-25,"Scientist, audiological"
F,En-55c4e760,929692487957,Sarah Manning,1964-09-30,Environmental education officer
M,Re-e3a68dea,WDLQCRWJ917L,Charles Bautista,1929-04-20,Recycling officer
F,Th-e7d16769,757420939162,Kristen Burns,1994-05-23,Theatre director
M,Au-e6ca87a9,LE082876S,Nicholas Byrd,1939-07-03,Audiological scientist
F,IT-57b24537,M794-3154-5004,Regina Franklin,1907-12-29,IT trainer
M,Ad-e271b2dd,H42332176,Alexander Baker,2019-02-17,"Administrator, Civil Service"
M,Ar-0b9aaf1b,JGWT*ZU752TJ,Todd Saunders,1967-02-11,Architectural technologist
F,Of-b1654947,713912432839,Cheyenne Cook,1988-01-08,Office manager
M,Fo-08c4e7a8,X6814478,Gary Brown,2011-08-21,Forest/woodland manager
M,Sc-61ccb8fb,308 039 357,Brian Smith,1955-07-16,"Scientist, product/process development"
F,Sc-108074bc,148478-320,April Davis,1964-05-16,"Scientist, research (maths)"
F,In-844fff4a,H14740846,Lisa Garcia,2002-05-01,Interpreter
F,Cl-638a31da,Y 906 425 971 990,Rebecca Bishop MD,1979-03-24,Clinical cytogeneticist
M,Ch-d081f83f,606 561 916,Bradley Ruiz,1995-06-10,Chiropractor
F,Pu-195409fb,X497-5877-3472,Patricia Ramos,1994-08-04,Public house manager
M,Wr-f4039a26,457WT3550,Michael Johnson,1964-10-07,Writer
F,Co-94fcbe43,949593144,Gabrielle Davis,1999-04-14,Control and instrumentation engineer
M,Em-38512a70,U-456-461-134-924,Ryan Dyer,2008-02-08,"Embryologist, clinical"
F,Pe-04046ab2,10JXP80295,Jessica Banks,1940-11-14,Personal assistant
F,En-c917e04c,056-23-3952,Jaime Frye,2013-05-13,"Engineer, technical sales"
M,Ma-2ade60f2,B262960,Brian Owens,1948-07-01,Maintenance engineer
M,Ph-d6226578,705-84-9386,James White,1967-04-26,"Pharmacist, community"
F,Me-ee7187fa,745-18-2616,Kaylee Rodriguez,1941-09-15,Media planner
F,Ed-29186498,978743363,Erika Thomas,1915-12-01,"Editor, commissioning"
F,Ad-ddc60d61,3454113Z,Jessica Beard,2012-08-13,"Administrator, education"
F,Ge-fb7ddb1d,1217-58-4720,Pamela Rodriguez,1930-06-13,General practice doctor
M,Fo-7f29a603,983192-375,Donald Nicholson,1958-05-03,Forest/woodland manager
M,Oc-99490408,4357370,Danny Gillespie,2021-10-07,Occupational hygienist
F,Op-123c2052,303269253,Erika Avery,1917-02-14,Optometrist
F,Ho-47167d2d,987406748,Emily Payne,1939-05-18,Holiday representative
M,Hy-8ae9c2f3,B 213 127 523 787,Jeremy Davenport,2011-02-22,Hydrologist
F,En-d86110e2,10879297,Mary Burns,1929-02-18,"Engineer, maintenance (IT)"
