job,name,birthday,epid,gender,licensenumber
Public relations account executive,Troy Strickland,2010-04-27,Pu-81d46f7f,M,YT651824B
Forest/woodland manager,Donald Tran,1953-11-06,Fo-1ffa9e36,M,93 013 955
Artist,Elizabeth Johnson,1938-06-21,Ar-902df5c3,F,IO473032
"Surveyor, planning and development",Lisa Cruz,2018-07-05,Su-606cbf47,F,ZZL**WD731U6
Architectural technologist,Gerald Rivera,1945-10-01,Ar-d09ca0ab,M,28 752 407
Data scientist,Henry Davis,2000-04-22,Da-e3291430,M,C 434 102 116 392
Education administrator,Matthew Davis,1914-03-21,Ed-5b471520,M,K77-86-8796
"Engineer, mining",Jessica Simpson,1988-08-06,En-9792d7d0,F,C667-9183-4628-75
Race relations officer,Stephanie Pruitt,1947-03-13,Ra-e8786cf3,F,6075-33-1487
"Loss adjuster, chartered",Maurice Gregory,1913-05-08,Lo-19c17517,M,197-95-4833
"Producer, television/film/video",Melvin Gutierrez MD,1950-04-28,Pr-725ba543,M,R4952035
Research scientist (maths),Michele Campbell,1992-12-11,Re-8b287dcf,F,V93-908-153
"Programme researcher, broadcasting/film/video",Matthew Robinson,1996-08-23,Pr-3a3f40a7,M,K24-08-6773
Chartered management accountant,Natalie Thomas,2010-05-09,Ch-17d1fb6d,F,V676-5379-6983-59
Systems analyst,Nathaniel Craig,2011-04-27,Sy-34b4265b,M,667-53-9944
"Chemist, analytical",Daniel Mcintyre,2003-06-16,Ch-97f329e1,M,D815936211
Environmental education officer,Jessica Chen,1941-01-31,En-fb5f5c41,F,173247938718
Land,Carrie Johnson,1998-11-29,La-ddf842e7,F,X8950 42356 25242
Technical brewer,James Moore,2000-07-08,Te-d6db71d5,M,98 611 852
Camera operator,Ryan Hunt,1995-08-21,Ca-0007cef4,M,5593144
"Clinical scientist, histocompatibility and immunogenetics",Kayla Everett,1919-05-04,Cl-7e620ead,F,Q1179970
Science writer,Melissa Schneider,2012-07-06,Sc-039ced66,F,1108011854108
"Horticulturist, commercial",Donna Wu,1958-12-17,Ho-18a963f5,F,483902672
Horticultural therapist,Sarah Cruz,2012-01-06,Ho-4ce7e504,F,9660249
Osteopath,Victor Jordan,1920-06-25,Os-337bf9a5,M,L9895 99955 28479
Adult nurse,Sean Hamilton,1985-09-01,Ad-bcb1d3a5,M,4492458
Arboriculturist,Daniel Hughes,1958-07-26,Ar-66432c89,M,J591-107-48-309-0
Civil Service administrator,Robin Cabrera,2016-12-28,Ci-b8bb6030,F,6733-47-8531
Speech and language therapist,David Hamilton,1992-05-06,Sp-18b362cb,M,1271193454113
Teaching laboratory technician,Denise Brown,1919-09-02,Te-e9c51802,F,8462-00-4610
Chief Executive Officer,Karen Brown,1958-11-03,Ch-734935f6,F,H90902689
Health and safety inspector,William Figueroa,1963-03-31,He-9e712fa2,M,P1871 84294 74845
"Sound technician, broadcasting/film/video",Amanda Myers,1942-12-01,So-676877a0,F,92070052
Geophysical data processor,Carla Perry,2001-05-11,Ge-0bcf38a0,F,BC095781
Economist,Steve Holloway,1940-07-04,Ec-48fba672,M,89 397 783
Dance movement psychotherapist,Shawn Young,1940-08-22,Da-b8a09698,M,42503708
Operational researcher,Barbara Sanchez,1918-08-19,Op-f8ffc448,F,453 677 140
Learning mentor,Jay Taylor,1943-04-16,Le-2d099495,M,XA237339D
Newspaper journalist,Brent Richardson,1984-09-04,Ne-63f02a66,M,CEVD*VO003LW
Orthoptist,Kelly Hughes,1949-07-23,Or-723e868c,F,RM819442
Neurosurgeon,James Anderson,1945-08-24,Ne-6a229f81,M,J15-410-311
Paediatric nurse,Amanda Castaneda,1928-06-14,Pa-3da9454d,F,B096-3225-1070
Licensed conveyancer,Nicholas Gordon,1917-03-18,Li-43a0b03c,M,E38-97-0057
"Surveyor, hydrographic",Dr. Walter Hood,1935-03-05,Su-22feba47,M,96 497 209
"Librarian, public",Stephen Cohen,1973-02-21,Li-13cfb488,M,23 495 338
"Scientist, biomedical",Daniel Doyle,1982-04-10,Sc-bd9cc1f3,M,268776166733
Oncologist,Anita Shepherd,2019-03-09,On-414eb246,F,Y307507931
Information systems manager,Joan Hunter,1929-09-14,In-bf48af05,F,52-537-2288
Energy manager,Eric Morris MD,1980-01-14,En-b37137af,M,318543186
Research scientist (physical sciences),Tina Walker,1960-07-25,Re-198d5a94,F,80 607 628
