job,name,licensenumber,birthday,gender,epid
"Merchandiser, retail",David Smith,ZWZMWEF2251R,1929-02-19,M,Me-524ddb39
Health and safety adviser,Mark Anderson,077675-412,1927-07-26,M,He-32573a0f
Applications developer,Laura Hardin,749314-439,1958-03-08,F,Ap-4c19171a
"Psychologist, counselling",Derek Klein,06XBK89246,1928-12-29,M,Ps-a5e5557a
Volunteer coordinator,Bonnie Pearson,1475918S,1992-01-14,F,Vo-97bea5bb
Geoscientist,Daniel Hale,577712-210,2019-10-01,M,Ge-22dee94e
Advertising art director,Jasmine Young,R25-23-9057,1990-10-06,F,Ad-0aa13a94
Catering manager,Tammy May,1207759974116,1992-06-17,F,Ca-d1c7714b
"Development worker, international aid",Teresa Washington,3410942,1930-07-07,F,De-5659020f
Tour manager,Tina Landry,K13-84-7034,2007-12-04,F,To-e917559b
Music therapist,Denise Williams,771120624,1937-04-19,F,Mu-b39f5107
"Administrator, Civil Service",Jessica Jordan,V866-3964-5075,1969-06-23,F,Ad-047fb46a
Naval architect,Tiffany Blankenship,749-60-5788,1983-09-19,F,Na-95efe810
"Psychologist, educational",Wendy Ortiz,1193696414124,1997-09-09,F,Ps-6f3d40e2
Clinical cytogeneticist,Ashley Escobar,28-056-3461,1930-10-13,F,Cl-083df1a8
Research scientist (physical sciences),Natalie Moran,K67-54-9016,1940-02-15,F,Re-4db5927a
Tax adviser,Joshua Collins,K06-72-8018,1985-11-26,M,Ta-2fa231d7
Research scientist (maths),Stephanie Allen,035084545,1981-06-06,F,Re-1fe47cfb
Hydrogeologist,Rebecca Rhodes,718XV3453,1921-03-15,F,Hy-98eb4f71
"Therapist, speech and language",Rhonda Coffey,2858931,2018-04-28,F,Th-8d4f507c
"Therapist, nutritional",Linda Peterson,7619-21-9722,1973-05-18,F,Th-a9c8fd01
Environmental consultant,Laura Johnson,R239602,1965-12-17,F,En-f5c1147e
Secretary/administrator,Melissa Sellers,P066-6529-0397,1928-01-03,F,Se-0050cbd6
"Production assistant, television",Dustin Taylor,988768295279,1967-03-21,M,Pr-e3cd8651
"Engineer, land",Andrew Franklin,S013-6424-0927-60,1959-01-15,M,En-f91f4591
"Clinical scientist, histocompatibility and immunogenetics",Janice Casey,04TVJ00077,2022-04-02,F,Cl-46a4499a
Barrister's clerk,Kelly Richard,3372557T,1961-12-09,F,Ba-aaab2858
Health and safety adviser,Chelsea Moreno,D293260,1967-02-27,F,He-fe9b8b84
Armed forces logistics/support/administrative officer,Anthony Clark,1912944O,2008-10-17,M,Ar-86622710
Hospital doctor,Justin Garcia,29687032,1922-02-09,M,Ho-77e91855
Illustrator,Steve Graves,K47263667,1932-06-30,M,Il-4471881b
Applications developer,Donna Washington,0397054894113,1920-02-06,F,Ap-60b2a178
"Horticulturist, amenity",John Lee,972136730,1929-02-11,M,Ho-d68410fc
"Librarian, public",Donald Randall,21901159,1988-11-05,M,Li-1f4a1f3a
Advice worker,Jason Williams,7890348,1991-06-13,M,Ad-231c7a07
Diagnostic radiographer,Tiffany Combs,F207268762976,1942-02-02,F,Di-ac1b26a7
Teaching laboratory technician,Michael Elliott,R762-4506-9001-99,1980-07-16,M,Te-832910ec
"Pilot, airline",Sara Burgess,664-56-5701,1938-08-29,F,Pi-cde963ae
"Loss adjuster, chartered",Adrian Hicks,I623605872494,1998-12-12,M,Lo-55715dd0
Licensed conveyancer,Anne Chase,33-088-6057,2018-01-22,F,Li-0ecd316c
"Pharmacist, community",John Drake,0250226984117,2013-11-08,M,Ph-3209a675
"Buyer, industrial",Dustin Hudson,G82-76-7773,2011-10-12,M,Bu-3c0203b0
Adult nurse,Michael Allen,S98-32-5181,1925-01-15,M,Ad-a2d4a0c0
Broadcast engineer,Michael Hawkins,658 320 314,1968-03-08,M,Br-77748878
Water engineer,Mr. Dustin Jimenez,P-710-472-923-658,2013-08-06,M,Wa-e25951a7
Quarry manager,Kaitlin Lewis,Q070077,1923-05-04,F,Qu-54cad713
Art therapist,Neil Mason,B50-442-206,1989-11-09,M,Ar-8e9b5f7a
"Education officer, community",Elizabeth Frazier,I79054882,1974-03-22,F,Ed-6a4d9c3c
Local government officer,Megan Gaines,H12558224,1924-10-26,F,Lo-ec3f606c
Commercial horticulturist,Kayla Diaz MD,F974-337-72-088-0,2009-08-19,F,Co-06689a13
