job,licensenumber,birthday,gender,epid,name
"Engineer, structural",9086962,1960-01-04,F,En-4795f529,Megan Cabrera
Arts administrator,J898-0984-9232-98,1914-10-06,F,Ar-9c792c78,Alexandra Willis
Lobbyist,1176940,1953-09-23,F,Lo-be0fd470,Margaret Gomez
Advertising copywriter,QDM**YU767PW,1949-08-12,F,Ad-cf36601e,Beth Reed
Television/film/video producer,360 629 919,1940-11-24,F,Te-123c7455,Alexis Mcintyre
Print production planner,D569-0952-7767-49,1962-04-14,F,Pr-f59b9c7f,Allison Russell
Bookseller,338-97-5076,1923-07-04,F,Bo-d549e33c,Mary Mcdowell
Neurosurgeon,V 557 249 859 994,1944-08-18,M,Ne-b21cd6a9,Jimmy Nguyen
"Surveyor, mining",E023908139404,1983-04-25,F,Su-a6827de1,Gloria Summers
Data scientist,MJR**XL357C6,1971-03-08,M,Da-ef297e0b,Joseph Brown
"Surveyor, mining",818 533 203,1939-06-04,F,Su-6ef915ce,Erica Martinez
Contracting civil engineer,ZFTNKMS859W1,2019-02-12,M,Co-ea22d1a9,Kyle Fischer
"Geologist, engineering",03-346-3859,2005-04-19,F,Ge-5837907d,Melissa Hopkins
"Merchandiser, retail",09 161 590,2006-08-06,F,Me-bc8a4324,Julia Johnson
Higher education lecturer,O245-0131-2225,1907-10-11,F,Hi-c942a47c,Crystal Barker
Radio producer,E3081453,1934-02-05,M,Ra-26d73ad4,Lee Myers
Legal executive,O 957 639 799 241,1934-07-10,M,Le-d95ec852,Dean Jones
Barrister's clerk,D6128 50545 81967,1937-01-03,M,Ba-92f178aa,Nathan Simmons
"Teacher, early years/pre",2835-10-6305,1945-04-22,M,Te-53b70cde,John Burke
Geophysicist/field seismologist,999115578,2016-07-05,F,Ge-ea041a2a,Mariah Barnett
Statistician,WDLWJ4NUBIFZ,1920-04-29,M,St-e8e1917c,Jeffrey Hoffman
Insurance broker,721 844 284,1961-04-18,F,In-a42a3e82,Lauren Farley
Database administrator,04421312,1967-08-23,F,Da-fabff1aa,Elizabeth Johnson
Public relations officer,110398713813,1957-02-18,M,Pu-fdf417b5,David Friedman
"Development worker, community",22-032-6354,1921-02-19,M,De-0d61aedf,Raymond Hunter
Phytotherapist,314933-944,1940-01-10,M,Ph-ecc723c1,Charles Schmidt
Clinical psychologist,6487522,2019-06-06,M,Cl-59308b79,Richard Bell
Medical laboratory scientific officer,824588670845,1954-02-08,F,Me-8e9ad65b,Tracy Lopez
Neurosurgeon,314-57-1508,1919-04-01,F,Ne-3247fc75,Vanessa Norris
Special educational needs teacher,M044002,1980-04-21,M,Sp-9f1f78ba,Timothy Matthews
Social researcher,X301-955-07-457-3,1976-09-03,M,So-14dbc3cd,Ryan Garza
Aid worker,52649344,1984-12-14,F,Ai-3de77752,Denise Holmes
"Scientist, forensic",9103329,2002-10-22,F,Sc-e1024428,Sarah Mason
Human resources officer,T9366 85356 81019,1928-11-17,F,Hu-25e513df,Colleen Wood
Bonds trader,V91-658-133,1912-09-11,M,Bo-4a748fc5,John Weiss
Printmaker,W769388699,1934-04-29,M,Pr-60716139,Brandon Ray
Technical brewer,E698060238002,2001-12-12,F,Te-0fb0f383,Charlene Browning
Theme park manager,L61-81-8106,1912-05-26,M,Th-c4f9cd9d,Alexander Martin
Archaeologist,676068671449,2017-03-28,F,Ar-a9561eeb,Monica Joseph
Cabin crew,637 275 655,1992-11-15,M,Ca-962e821d,Todd Wright
"Scientist, research (maths)",30 226 273,2000-09-11,M,Sc-abc6c821,Michael Nguyen
Air broker,WUB**OS504JL,2008-07-20,F,Ai-e2a0c2f8,Sandra Bennett
General practice doctor,0854080,1989-04-15,F,Ge-2a6e7f20,Samantha Hawkins
Barrister,132955540,1952-10-24,M,Ba-c2aa2503,Douglas Mccormick
Teaching laboratory technician,V8993 99676 77165,1934-06-26,M,Te-991c7f1e,Samuel Jones
Amenity horticulturist,26-417-0405,1931-04-10,F,Am-d66720af,Gina Grant
Electrical engineer,U55-827-423,1984-08-28,M,El-61b08ed2,Robert Nunez
Visual merchandiser,XU174259M,1944-05-29,M,Vi-9d91d326,Eric Le
"Social research officer, government",658307-670,1998-03-17,F,So-3994c734,Theresa Hamilton
"Exhibitions officer, museum/gallery",L592481395054,1982-03-04,M,Ex-ad212f58,Jacob Fisher
