gender,licensenumber,birthday,job,name,epid
M,R5317089,1954-07-21,Broadcast journalist,Jason Morales,Br-35025dde
F,H80-792-501,2012-04-14,Web designer,Amber Johnston,We-fa93fe4b
F,HV417272O,1951-03-15,Curator,Laura Wolfe,Cu-0f34e0e8
M,212902396427,1924-10-10,Production engineer,Jeremy Reeves,Pr-154ee0b8
F,Q823779730,1962-02-26,Commercial/residential surveyor,Cheryl Jones,Co-f2c8744d
M,V964336,1988-11-03,"Engineer, manufacturing",Ricardo Brown,En-00226848
M,989458873,1926-04-08,Oceanographer,Joseph Williams,Oc-08c701bb
F,970184319,1976-12-22,Forest/woodland manager,Jessica Ward,Fo-62365b21
M,621-25-3722,1946-10-01,Soil scientist,Robert Taylor,So-c7664cf5
F,W696-4770-3808-42,1978-07-05,"Therapist, occupational",Jasmin Huang MD,Th-903b9b29
F,938716187,1935-04-30,"Therapist, occupational",Jody Gray,Th-a865908c
M,K32-12-1640,1982-06-08,Health and safety inspector,Charles Rice,He-d783cda8
F,021-60-3704,1954-06-02,Futures trader,Dana Joseph,Fu-1f6b1ae2
F,3643132,1950-03-14,"Radiographer, therapeutic",Lindsay Smith,Ra-1dd75650
M,O3900 46598 22340,2012-01-03,"Programmer, systems",Jonathan Ramirez,Pr-9f5a818f
F,H96821193,1936-09-28,"Scientist, forensic",Linda Welch,Sc-c144c3e7
M,O063-1522-7582-76,1915-01-19,Meteorologist,Jason Hernandez,Me-bc749b9a
F,81 770 052,1918-02-26,"Scientist, research (maths)",Kristen Baker,Sc-a6702b7c
M,P33-779-863,1964-01-15,Futures trader,Ricky Mullins,Fu-fa6ac31d
F,029926816992,2005-06-02,Corporate treasurer,Michelle Cunningham,Co-c3ebf4cd
M,W670960,1953-06-04,Solicitor,Harold Barker,So-9881fcaa
M,699WZ1407,1997-11-13,Passenger transport manager,Joseph Harris,Pa-023f574e
F,J203879313,1976-12-10,Trade mark attorney,Ashley Williams,Tr-43390db9
M,750620380,1943-06-10,Advertising copywriter,Gabriel Myers,Ad-379544c4
M,C36434045,1914-09-13,"Psychologist, sport and exercise",Patrick Garza,Ps-e43fb263
M,Q88-36-9922,2016-01-31,"Surveyor, land/geomatics",Kyle Day,Su-e1fcbd44
M,K63-35-3594,1913-07-07,Network engineer,Michael Quinn,Ne-212cdd87
M,3624377,1992-12-03,Quarry manager,James Norman,Qu-acbbe886
F,Y4081205,2022-07-27,"Psychologist, clinical",Melissa Kirby,Ps-b5609960
F,T429854,2008-11-27,Probation officer,Melissa Simon,Pr-a6906696
F,072812691,1948-02-22,Bookseller,Debra James,Bo-aa074579
M,59-459-5270,1960-06-08,Plant breeder/geneticist,Cory Walker,Pl-9b89fd81
F,2384741,1980-12-23,"Engineer, technical sales",Rebecca Chen,En-89638a8b
M,D7906 37508 90174,1937-11-24,Barista,Shawn Watson,Ba-52e64b89
F,Y90-38-4988,1934-07-22,Electrical engineer,Melinda Mooney,El-134d64db
M,S 769 631 939 428,1923-04-24,TEFL teacher,Leslie Sanchez,TE-105c014e
M,A14-27-2844,2002-01-26,"Teacher, primary school",James Glover,Te-958777ab
M,133860131327,1922-02-24,Secretary/administrator,Eric Perez,Se-6758e476
M,FWO-57-3797,1996-02-15,Insurance risk surveyor,Parker Brown,In-02d8d5d4
F,E4776 79444 11793,1930-02-24,Local government officer,Julia Pena,Lo-f96814a7
F,X88745549,1996-12-14,Recycling officer,Teresa Roberts,Re-00cf9ebf
M,Q67040503,2014-05-17,Fine artist,Jonathan Watkins,Fi-d28c5e36
M,K60-47-7337,2013-10-29,English as a second language teacher,Bryan Fernandez,En-b9b39fe5
M,O-393-338-315-556,1957-06-24,Leisure centre manager,Kevin Christian,Le-def0046b
M,6807403,1933-07-04,"Engineer, energy",John Jackson,En-455c9de5
M,H25040230,1913-10-17,Automotive engineer,David Ward,Au-9d2d30ed
M,F9943 48182 62110,2012-03-01,Network engineer,David Cardenas,Ne-055e45c9
F,52-667-9726,1915-09-15,"Pharmacist, community",Nancy Khan,Ph-b25a1e10
M,WDL1OIOYICC6,1933-12-25,"Scientist, biomedical",Paul Johnson,Sc-75d180c8
M,U307052131,1991-10-03,"Designer, textile",Frank Hale,De-8c29c90a
