job,name,gender,licensenumber,birthday,epid
Systems analyst,Robert Myers,M,H95744374,1910-01-18,Sy-82ecc75f
"Engineer, communications",Robert Guzman,M,D09-116-712,1957-01-12,En-7bbf6ba3
"Editor, film/video",Breanna Garrison,F,IO836252Z,1986-05-01,Ed-2aeb1cc8
Actor,Stephanie Marsh,F,C49583333,1935-05-24,Ac-e2ce5faf
Theatre director,Randy Delgado,M,NVDKGMI878OX,1918-03-07,Th-9433627b
"Chemist, analytical",Kathy Jones,F,V01-21-7887,1982-02-10,Ch-16e1a180
Cabin crew,Lisa Brown,F,KB239976,1947-03-19,Ca-e9fcc30b
Newspaper journalist,Christian Allen,M,275-50-4566,1995-01-27,Ne-82414b26
"Loss adjuster, chartered",Debbie Elliott,F,Q-111-255-637-150,1968-09-17,Lo-45a99b84
Mechanical engineer,Felicia Luna,F,F-148-585-289-832,1946-03-18,Me-a3935bfd
Civil Service fast streamer,Mark Edwards,M,329 528 362,1982-03-18,Ci-88acaba9
Graphic designer,Sarah Parker,F,NW407368Q,1968-10-29,Gr-dbe74093
Public house manager,Antonio Walker,M,E-439-741-211-466,1917-12-22,Pu-ef09327d
Radio broadcast assistant,Chad Beck,M,FS584955X,1912-09-30,Ra-901055e0
Quantity surveyor,Wendy Christensen,F,H21900810,1909-09-21,Qu-a7062890
"Scientist, marine",Tina Sanders PhD,F,63-148-0740,2000-07-20,Sc-4eb6b934
Social researcher,Debra Ramirez,F,W9717798,1962-11-27,So-916aeb74
Building services engineer,James Martin,M,O8884703,2000-07-02,Bu-1b2cf6f7
Politician's assistant,Kathleen Johnson,F,H19493521,2009-11-21,Po-47eb85a3
Product designer,Donald Peters,M,J 100 335 817 357,1911-05-21,Pr-13694fc6
Politician's assistant,Craig Davis,M,N379776043573,1989-07-09,Po-13e44403
Risk manager,Devin Allen,M,UD***HA5550O,2013-09-11,Ri-bab8740d
"Therapist, music",Andrew Blair,M,234VO3359,1940-08-27,Th-42f8f12e
"Nurse, adult",Dylan Payne,M,Y92-092-289,1912-08-22,Nu-4b856929
Art therapist,Jennifer Moore,F,A015965125,2011-09-17,Ar-e442026a
Financial adviser,Ethan Wagner,M,2476-64-3724,1922-08-06,Fi-63cd360f
Printmaker,Angelica Cooper,F,A945291338802,2000-10-05,Pr-337bed1f
Clinical molecular geneticist,Greg Whitehead,M,K72-03-9513,1982-08-24,Cl-27607db6
Building control surveyor,Shannon Franklin,F,0452738Z,1984-03-27,Bu-299c6bfd
"Psychologist, counselling",John Trujillo,M,06982202,2022-04-06,Ps-a80cdf00
Meteorologist,Shane Jimenez,M,1183149844102,1946-11-13,Me-1005b51c
Astronomer,Amanda Carter,F,X2054 45624 10735,2010-04-30,As-6f585001
Tourist information centre manager,Crystal Knight,F,K41-77-1768,2003-11-19,To-41845c5f
Probation officer,Rodney Myers,M,W-605-543-868-772,1961-10-05,Pr-e53b30c8
"Administrator, education",Phillip Miller,M,9332007,1916-06-15,Ad-ec1a123f
Air cabin crew,Juan Blankenship,M,A595-4219-1890,2022-10-16,Ai-7de0ca83
Public affairs consultant,Tracy Branch,F,Y64050719,1918-11-30,Pu-0806b926
Data scientist,John Lewis,M,6438619O,1949-05-24,Da-f01122e0
"Therapist, art",Carolyn Reynolds,F,L58-763-606,1961-01-18,Th-e71103ef
Nature conservation officer,Miranda Fuentes,F,0407091424102,1963-01-12,Na-05de718b
"Teacher, English as a foreign language",Matthew Ramirez,M,8560059,2007-11-25,Te-3df06de2
"Nurse, children's",Brian Vang,M,XJWI*LV938VU,1907-07-20,Nu-26f2f6ea
Health and safety inspector,Christopher Sanders,M,221703-604,1992-01-28,He-86f347c1
Optometrist,Cheyenne Davidson,F,D33-68-9952,1995-10-03,Op-ccc73f3b
Printmaker,Alison Robinson,F,G2619 82133 83299,1916-09-26,Pr-4250d603
Minerals surveyor,Kim Williams,F,02BOB77305,1975-08-21,Mi-286a1a73
"Engineer, building services",Jimmy Jackson,M,32 433 612,1908-05-29,En-7225d435
Animal nutritionist,Colton Stokes,M,LI***LD362XV,1909-07-15,An-a81b64cf
Legal secretary,David Wong,M,U32-69-6472,1953-01-15,Le-c9c5dc32
Training and development officer,Amber Carter,F,S893-368-22-235-9,1933-04-02,Tr-40096ba9
