licensenumber,name,birthday,epid,gender,job
X57-510-741,Stephen Wise,1924-11-30,Ph-018b5760,M,"Pharmacist, hospital"
T925275,Gregory Lewis,1958-05-07,Pr-3b35913c,M,Primary school teacher
E52-576-307,Sally Stephens DDS,1982-10-10,Ph-1755bad5,F,Physiotherapist
S057-321-82-243-1,Allen Nguyen,2004-09-12,Su-f05edada,M,"Surveyor, mining"
9532680R,Teresa Garza,1975-07-13,Sc-7c92300f,F,"Scientist, research (physical sciences)"
562807-450,John Harrington,2005-12-16,Se-77324720,M,Secondary school teacher
X531-1697-9355-09,Deanna Bird,2016-09-16,Ba-025aa746,F,Barrister's clerk
O788-3231-6913-08,Sonya Weiss,1969-03-14,Ch-2f83e21f,F,Chartered management accountant
84-194-1288,Paul Rivera,1977-05-04,Tr-ea566f92,M,Trade union research officer
136148408,Kurt Castro,1927-03-17,Ps-cb3c7d31,M,Psychiatric nurse
00388652,Brianna Meza,2012-09-21,He-6da497d4,F,Health physicist
P246-7933-1795,Joshua Henderson,1922-01-01,Te-935f4fe8,M,"Teacher, primary school"
FYH-78-9132,Hannah Lawrence,1968-03-03,Da-ea720071,F,Data processing manager
Q682007,Charles Johnson,1996-05-27,Br-90b38d37,M,Broadcast journalist
493085835,Shawn Rodriguez,1976-02-06,Ch-3e10d7b8,M,Chartered legal executive (England and Wales)
G20-73-1411,Rebecca Armstrong,1965-06-16,En-4bddc6bf,F,Energy manager
QO216553,Michael Bonilla,1956-11-07,En-1233f0d1,M,Energy manager
03ZES52307,Cynthia Simpson,2002-02-19,Ad-3b3de40e,F,Advertising copywriter
2599-97-8906,Ashley Beltran,2023-05-17,Po-fed3909a,F,Podiatrist
5595023,Michael Brown,1964-02-11,Bi-14e80a59,M,Biomedical scientist
SZ453833U,Cindy Macias,1927-10-29,En-b10569e6,F,"Engineer, control and instrumentation"
749 742 373,Lindsay Henderson,1907-08-30,Fa-ab6dd25c,F,Fast food restaurant manager
220 269 828,Daniel Bell,1958-03-20,De-ba5136eb,M,Dealer
J1684 70680 92411,Heather Griffin,1929-09-19,En-619b05e1,F,"Engineer, electrical"
135471013849,Harold Valencia,2014-01-24,Br-12d96713,M,Brewing technologist
K4221 37881 55817,Madison Bennett,1947-05-07,En-6fe5a1bf,F,Environmental health practitioner
N11-565-714,Jessica Archer,1992-09-17,Le-8c5eab04,F,"Lecturer, further education"
C791874607572,Jesus Stewart,2003-02-13,Fo-5464b058,M,Forensic psychologist
H-583-703-272-487,Matthew Stark,2015-04-13,La-42370803,M,Lawyer
12JQS71220,Betty Taylor,1917-06-27,Ad-52df03d3,F,"Administrator, sports"
3418-61-8271,Mary Molina,1911-09-07,Ma-ed695d48,F,Magazine features editor
WDLMXF8UND5H,Jennifer Henderson,1917-12-02,Fo-a0d98041,F,Forest/woodland manager
5255-89-8966,Patricia Pittman,1954-02-21,Li-28c5ca43,F,"Librarian, public"
9442-66-5721,Cameron Moore,1922-01-20,Th-48635b1f,M,Theatre director
0413127314125,Jacob Kirk,1912-12-15,Ai-a50af162,M,Aid worker
H08460522,Danielle Campbell,1910-09-22,Pr-63fe84e8,F,Professor Emeritus
251QC7156,Brandon Cox,1996-09-09,Fi-7753f326,M,Fisheries officer
WDL8WZA31Z4Z,Katherine Haley,1907-11-10,Mu-bafd5135,F,Museum/gallery curator
D-382-355-765-910,Erica Parker,2008-07-24,Pu-2a1a0a4a,F,Public affairs consultant
000732-549,Mrs. Rhonda Mitchell,1927-06-25,To-28fa4a01,F,Town planner
T 659 971 734 395,Kathleen Phillips,2004-11-18,Pe-ef97cd24,F,Personnel officer
946071652,Joshua Bender,1976-07-23,Di-a6955f40,M,Dispensing optician
271689164,Shelley Woods,1943-09-28,Pu-cfb6900c,F,Public relations account executive
0633148924103,Haley Valenzuela,1998-10-08,Tr-539fe64e,F,Travel agency manager
F954072318813,Eric Thomas,1950-11-27,Co-ed91b1d9,M,Community education officer
TS574680J,Ralph Weiss,1992-12-14,Ch-613208a1,M,Chief Strategy Officer
K34-60-3511,Donna Sanchez,1986-11-16,In-96221f56,F,Insurance risk surveyor
K487-981-38-167-4,Manuel Collins,1920-12-20,Ch-4e1aa8a9,M,Chief of Staff
12VWJ18211,Shirley Wilkinson,2011-06-13,Na-0a7394a8,F,Naval architect
H464001273745,Stephanie Powell,1921-10-29,Ma-e89b683b,F,Manufacturing engineer
