job,name,licensenumber,gender,birthday,epid
"Education officer, museum",Daniel Gibson,Q-049-198-612-592,M,1929-05-24,Ed-c381f42d
Media buyer,Joe Holloway,BY***FN518BQ,M,1963-11-05,Me-2971d3b3
Dispensing optician,James May,C461819042269,M,1908-07-18,Di-9e471121
"Editor, magazine features",Robert Bell,TA005292,M,1992-08-08,Ed-68304345
Geographical information systems officer,Dr. Lisa Higgins,07MNZ35034,F,1965-04-12,Ge-5e2d1093
IT consultant,Theresa Bradley,X477-284-67-440-0,F,1912-04-17,IT-ed15d962
"Scientist, clinical (histocompatibility and immunogenetics)",Christina Smith,2858423,F,1989-09-07,Sc-9bef2534
"Editor, commissioning",Ryan Lester,F-252-442-829-393,M,2003-01-25,Ed-da2ccd1c
Lawyer,Stephanie Bailey,H86354156,F,1932-09-16,La-4b39c59c
Lexicographer,Angela Pratt,0428667804130,F,1972-01-17,Le-68a3f3a7
Toxicologist,David Hicks MD,J993-2553-3589-37,M,1964-11-19,To-f024dfe2
Midwife,Gina House,X739753472,F,2005-07-18,Mi-3e5ecbb6
"Journalist, broadcasting",Vanessa Smith,557AH1316,F,1929-06-02,Jo-56e6204f
Editorial assistant,Rebecca Kennedy,D150-474-38-880-8,F,1944-06-23,Ed-0dbd514b
Medical laboratory scientific officer,Gregory Buck,4951644,M,1939-03-22,Me-78b7736e
"Doctor, hospital",Timothy Tran,901423339,M,1984-06-05,Do-6b16e5fb
Press sub,Courtney Chambers,194623917603,F,1960-07-28,Pr-9b7b6349
Counselling psychologist,Christina Johnston,WDLKD2LQJE1U,F,1933-05-28,Co-928e5171
"Investment banker, corporate",Jessica Barton,9377-60-2342,F,1979-12-12,In-a4d99797
Passenger transport manager,Michael Hill,N856-9226-6508,M,1955-09-15,Pa-776efff5
Advertising account executive,Courtney James,H 414 992 048 576,F,1941-11-24,Ad-1a485801
Herbalist,Kimberly Horn,639-39-1209,F,1943-11-12,He-725b25b1
"Nurse, adult",Mackenzie Howard,U727-279-08-236-9,F,1943-02-24,Nu-5a3ddebf
Medical technical officer,Victoria Woodard,J314-5361-6494-92,F,2005-04-19,Me-fd33a7c0
Health and safety inspector,Dr. Margaret Garcia MD,WDLUXXJ9736X,F,1985-07-06,He-34d3a518
"Designer, blown glass/stained glass",Kenneth Johnson,G111045886,M,2011-02-01,De-e9fb007e
Site engineer,Victor Terry,70 941 345,M,1999-07-08,Si-6be26be8
"Teacher, early years/pre",Bonnie Webb,J05912984,F,1980-07-21,Te-b09bb2e1
Information officer,Cynthia Hernandez,H-473-052-592-476,F,1927-03-24,In-20270c45
Contracting civil engineer,Michele Blankenship,3979507,F,1939-12-03,Co-a7acff67
"Surveyor, commercial/residential",Sean Moss,S039671549,M,1922-12-15,Su-dee3ab2f
"Scientist, product/process development",Dustin Kirby,833-76-0820,M,1986-12-30,Sc-c13af022
Animal technologist,Jean Frederick,462FD6647,F,1983-06-26,An-073e75fc
Senior tax professional/tax inspector,Dr. Angela Evans MD,ED365318,F,1939-08-21,Se-9d5f5aab
"Teacher, music",Patrick Thornton,11NQR52128,M,2008-02-28,Te-35c05595
Chief Financial Officer,Heather Tucker,4630935N,F,1968-04-02,Ch-18f5f99f
Risk analyst,Erik Willis,B82-773-011,M,1921-01-28,Ri-9da5e70d
Management consultant,Douglas Zimmerman,D486778,M,2003-09-16,Ma-d7afac3c
Ophthalmologist,Paul Davis,168NJ7036,M,1988-02-11,Op-1eb8a3b4
Prison officer,Kenneth Cruz,1044058614124,M,1975-04-26,Pr-8564867b
Academic librarian,Lisa Burton,410BE8084,F,1979-12-14,Ac-97b35da9
Race relations officer,Gabriel Dean,919595067,M,1924-09-05,Ra-2ac72211
English as a foreign language teacher,Stacy Valentine,3882765,F,2001-07-26,En-289bd0ad
Field seismologist,Jenna Mills,920 811 598,F,1936-05-07,Fi-de6b64e4
Chief Technology Officer,Jason Wong MD,240093317279,M,2007-07-05,Ch-c3adc602
Oceanographer,Laura Pierce,A385-6424-1823-11,F,2009-01-12,Oc-92eb4e21
Chartered management accountant,David Williamson,K707289982,M,1942-05-19,Ch-d2033f38
"Accountant, chartered public finance",Christine Hammond,H42672975,F,1964-09-14,Ac-772033cc
Quality manager,Billy Dean,D091-290-16-446-3,M,1994-08-17,Qu-333a8419
Nutritional therapist,Robert Higgins,EJMM*NH5356X,M,2014-12-26,Nu-dd3e35f5
