gender,name,birthday,job,licensenumber,epid
F,Crystal Page,1942-08-16,"Psychologist, sport and exercise",G397-6514-6207-82,Ps-6a90b25b
F,Dawn Gardner,1983-04-13,"Designer, jewellery",X63-224-922,De-f96ccda3
F,Kathryn White,2015-03-21,Travel agency manager,940195-206,Tr-ee03e1ab
M,Elijah Dillon,1933-06-11,Publishing copy,28-665-4501,Pu-49b2f282
F,Katherine Baker,1950-03-31,Ceramics designer,S-761-043-297-961,Ce-ce5834f6
M,Matthew Acosta,1968-12-01,Production engineer,WDLHFBMAL53P,Pr-30ff262c
F,Mary Richardson,1987-06-03,Oncologist,3643159,On-d79029e2
M,Ross Small,1962-12-12,Lobbyist,B318-438-45-194-7,Lo-9a2375a6
M,Charles Salazar,1948-06-30,Probation officer,P3357 27792 93753,Pr-a5e50bbc
F,Autumn Brown,1918-04-29,Clinical cytogeneticist,TG736637X,Cl-7d61c1cc
F,Susan Gallegos,1980-03-09,Oceanographer,15163158,Oc-339d09ca
F,Tracey Woodard,1949-10-23,Site engineer,G858054,Si-f1d01b50
F,Sonya Williams,1949-06-09,Commercial art gallery manager,11-469-3627,Co-70f88fc5
M,Larry Little,2015-12-01,"Accountant, chartered certified",D 583 135 596 752,Ac-cbe751c6
F,Lisa Davis,2006-04-03,Call centre manager,G 857 521 629 310,Ca-c137c540
F,Karen Hickman,1985-10-16,"Scientist, research (life sciences)",5601446,Sc-81d8bd44
F,Shannon Miller,1939-12-28,"Conservation officer, nature",SYS-62-3362,Co-561f9a07
F,Jacqueline Bullock,1935-02-21,"Librarian, public",P7334 64517 74667,Li-bdf4b6c8
F,Laura Stone DDS,1991-09-26,Medical technical officer,1167829394122,Me-5cdd3d81
F,Taylor Massey,1930-10-20,"Engineer, building services",M204-316-97-118-1,En-24033648
M,George Benjamin,2008-06-02,Secondary school teacher,WDLGL6JEQY8L,Se-a5c2c2f4
F,Monica Martinez,1930-09-06,"Programmer, multimedia",40244463,Pr-2ac7cb18
F,Michelle Davidson,1924-01-18,Dancer,CXK-40-3383,Da-c5d9e608
F,Lisa Bryant,1999-08-25,Hospital doctor,F-546-352-750-809,Ho-ad52307c
M,Samuel Williams,1934-02-06,"Programmer, systems",A852347680334,Pr-a9ded6d4
M,Christopher Larson,1909-10-18,"Surveyor, building control",11TTQ50169,Su-9e72b6c4
M,Paul Little,1982-03-01,Forensic psychologist,TBA-72-0182,Fo-56fbde9d
F,Heather May MD,1949-08-09,"Nurse, mental health",X 405 498 017 372,Nu-e2917d4d
F,Jessica Thomas,2002-01-07,Bookseller,F15422289,Bo-3f646ff4
F,Brianna Dickerson,2004-09-05,"Psychologist, forensic",10XII99240,Ps-db4735d0
F,Angela Fleming,1941-11-17,"Surveyor, commercial/residential",684008-191,Su-37c020bf
M,Tyler Jackson,2001-12-11,"Scientist, research (physical sciences)",7137-17-3252,Sc-a0644c6d
F,Judith Nguyen,1984-01-28,Actuary,5641057,Ac-a73b7801
M,Raymond Taylor,1916-02-22,Materials engineer,P03452414,Ma-e804ae69
M,Barry Rodriguez,1912-02-09,Community arts worker,31581978,Co-f540db0e
F,Jennifer Long,1917-02-18,Health and safety adviser,P37468524,He-bc96d414
M,Timothy Roach Jr.,1976-10-05,Musician,E 434 788 326 819,Mu-fec3df6c
F,Mackenzie Phillips,1937-12-29,General practice doctor,1938316,Ge-2029c3bf
F,Sara Lawrence,1949-08-05,IT trainer,Z793053017671,IT-9da8466f
F,Christine Montgomery,1991-07-05,Quarry manager,633580160,Qu-739b3037
F,Kelly Harrell,1926-06-19,Community pharmacist,994083134,Co-b0f1f7e4
F,Diana Robertson,1919-12-31,"Engineer, maintenance",99 301 703,En-51668a52
M,Dylan Stafford,1910-05-10,Armed forces logistics/support/administrative officer,WDL42Y6PDFX7,Ar-3a3a1298
M,Matthew Jacobson Jr.,1913-06-29,Occupational therapist,278 895 402,Oc-57a50a83
M,Jeffery Tran,1962-01-25,"Teacher, early years/pre",O84-337-517,Te-5d5733d9
F,Katelyn Harding,2022-09-07,"Radiographer, therapeutic",497DF7463,Ra-e44bb691
M,Daniel Webb,1996-02-23,"Surveyor, land/geomatics",Y588536646,Su-b414758b
F,Chelsea Black,1914-11-16,Counsellor,T3886131,Co-df50a8db
M,Raymond Russell,1941-05-22,Landscape architect,45-558-9766,La-65cc734f
M,Raymond Nguyen,1947-01-28,Corporate investment banker,K16-21-8067,Co-37fd0a33
