gender,job,licensenumber,birthday,name,epid
M,Mental health nurse,O-384-564-806-268,1989-12-07,William Bird,Me-5e08c33c
M,Sports development officer,V488-935-80-474-8,1937-02-27,Mr. Jacob Madden,Sp-5523e56a
F,Technical sales engineer,N745362271,1929-08-01,Kristen Fields,Te-b3c0ac47
M,"Administrator, arts",H70339400,2013-04-04,Peter Ramos,Ad-d31a38ac
M,Cytogeneticist,O518383830673,1963-01-09,Frank Holmes,Cy-f7064f8b
M,Learning mentor,90 619 120,1960-06-12,Keith Jones,Le-dc0b16a3
M,Farm manager,R718-5850-0555,1918-04-09,Mike Mccarthy,Fa-3cbef844
F,Community development worker,O545-579-03-442-2,2000-03-10,Tonya Clark,Co-edc0f636
F,IT consultant,5279-98-5930,2006-09-24,Sue Thomas,IT-0d53681a
M,Television production assistant,K 554 682 052 577,1966-10-30,Daniel King,Te-a379a261
M,Arts administrator,J581211,2019-12-29,Stephen Ross,Ar-2bb349de
F,Government social research officer,5952206,1952-07-05,Laura Scott,Go-9be8e939
M,Chiropodist,W811938766,1918-04-10,Charles Peterson,Ch-aac3827c
F,"Engineer, water",284UT4225,2015-04-04,Joanne Martinez,En-df16682f
F,"Radiographer, therapeutic",945222735,1908-07-29,Vanessa Miller,Ra-1d7bd238
M,"Sales professional, IT",WDLAONX4MACH,1979-11-23,Mr. Alan Russo,Sa-407243c9
M,Dance movement psychotherapist,S627-3568-6551,1909-10-24,Michael Phillips,Da-1c8259ee
F,"Programmer, applications",E29-174-379,1934-03-22,Natalie Rodriguez,Pr-ee8f6696
M,"Scientist, physiological",5364540,1977-11-27,Michael Garcia,Sc-bb1023af
F,Industrial buyer,11VWE94304,1936-06-07,Elizabeth Rowland,In-205e6e17
M,Location manager,T002-7903-4529-60,2005-01-03,Richard Jones,Lo-78c36e84
M,Radio broadcast assistant,O30358464,2012-04-16,Kyle Mathis,Ra-9fe71eff
M,Ceramics designer,QL776938,1943-02-20,Scott Hayes,Ce-352e2f0f
F,"Editor, magazine features",Y97-85-0600,1984-08-14,Laura Brown,Ed-436a327b
M,Horticultural therapist,9527273,1952-02-21,Douglas Pena,Ho-e70e8a47
M,"Therapist, occupational",97081087,2014-08-11,Nicholas Fox,Th-84f55fa2
F,Minerals surveyor,983812982,2015-10-08,Melinda Powell,Mi-96a58028
F,Chartered accountant,0289567194130,1966-12-12,Katherine Morris,Ch-fdced8fa
M,Oncologist,2295231,1980-10-03,Mark Yoder,On-7dca5a58
M,"Psychotherapist, child",565411794,1972-03-04,Kenneth Miller,Ps-ebe52805
M,"Conservation officer, nature",57 247 595,2006-10-23,Chad Haley,Co-130b1f8c
F,Ecologist,K06-54-5402,1942-01-13,Phyllis Payne,Ec-37db7c78
M,Housing manager/officer,4306242,2014-03-17,Michael Armstrong,Ho-eec68f76
F,Further education lecturer,066-65-8436,1948-11-27,Lisa Reid,Fu-676b804f
F,"Psychologist, sport and exercise",SHJ**ZY634ZB,1921-08-01,Bonnie Stuart,Ps-88f6cb56
M,Prison officer,V6647587,1925-10-09,Dakota Levine,Pr-cd4271a1
M,"Designer, blown glass/stained glass",L452374,1935-07-25,Mark Wilcox,De-6aa9cee7
M,"Teacher, music",K70-58-7697,1937-08-05,Jason Garcia,Te-ae22d1c6
M,Human resources officer,R 212 721 828 376,1934-02-27,Gary Berg,Hu-42d61e23
M,Records manager,GY969790,1927-12-30,Christopher George,Re-74eb610d
M,Ceramics designer,R469837084877,1966-08-06,Steven Jordan,Ce-681d939c
F,"Engineer, mining",YEH-47-0007,1922-08-15,Nicole Thomas,En-bb97275a
M,Ergonomist,210TJ4492,1952-08-11,Michael Moore,Er-e40a68cc
M,Advice worker,KBP-01-7453,2022-09-06,Jacob Mays,Ad-2096f439
M,Restaurant manager,1249633584112,1958-03-03,Jason Kennedy,Re-01601251
M,Educational psychologist,985333-291,1914-08-15,Stephen Morrow,Ed-91c76809
M,Land,A762589,2020-05-29,Darrell Turner,La-4127fba5
M,"Scientist, audiological",XF***LF933X7,2010-06-12,Matthew Smith,Sc-8df2a439
F,Geochemist,488ES8401,1916-04-29,Danielle Sims,Ge-d2a636b9
M,"Psychologist, clinical",IR***NC970J1,2009-03-20,Christopher Bullock Jr.,Ps-4bd6384d
