name,licensenumber,gender,epid,birthday,job
Monica Shepard,Q285-567-82-122-3,F,Le-9841ee51,1944-10-11,"Lecturer, further education"
Lisa Vasquez,847 736 696,F,Ed-7fe18e9d,1994-07-21,"Education officer, environmental"
Renee Riley,697 350 891,F,Ad-82986fd0,1939-08-10,Advertising account executive
Arthur Gilbert,H28870185,M,Th-1446b04a,1965-06-13,Theatre manager
Jeffrey Beasley,K91-86-0875,M,En-a0f15ae0,1966-07-15,Environmental consultant
Maria Perez,40 027 353,F,Pu-e7bb4761,1999-02-05,Public affairs consultant
Taylor Jones,V122-7042-6399,F,Os-c68a79fc,1910-10-14,Osteopath
Megan Nelson,R899475,F,Ar-96670726,1937-12-17,Art gallery manager
Joshua Henry,M660-3812-6529-75,M,Ar-1c34fd2d,1988-12-10,Artist
Kyle Sampson,976784504,M,Ch-84ce4fc3,1945-10-15,Chiropractor
Sydney Davis,108-48-5590,F,Te-eca6e303,1972-02-24,"Teacher, early years/pre"
John Morgan,A997859,M,Le-c38d4cb6,1959-03-14,Learning disability nurse
John Andrews,VK***QR487TV,M,Mu-28622477,1950-01-13,Museum education officer
Joseph Brown,Q 679 486 554 637,M,Qu-9f9e7906,1996-12-02,Quantity surveyor
Mrs. Carrie Moyer,779482-849,F,Ed-0d28df61,1944-01-27,"Education officer, community"
Mitchell Patel,554442488,M,Am-b2cb2499,1943-12-05,Ambulance person
Ryan Wilson,U 185 128 589 520,M,Tr-ab89a841,1981-07-18,Trade union research officer
Tracy Conner,Q109189233305,F,Im-770175fb,1979-07-10,Immigration officer
Michelle Hughes,P09-080-767,F,Co-bfa815b4,2009-04-16,Commercial art gallery manager
Mr. Jeremy Garcia Jr.,095636811,M,Ma-f8977fcc,1930-08-10,Make
Jason Salazar,H506316,M,Sc-ddd2a9ab,1913-02-23,Scientific laboratory technician
Anna Salas,14 288 670,F,Ed-eeda8cdb,2015-05-29,"Editor, film/video"
Amber Jones,L7920 60184 36395,F,Ge-e01bb621,1976-06-14,Geoscientist
Sean Diaz,805790461302,M,Bi-3d0165ad,1977-11-04,Biomedical scientist
Amber Rice,TGZQ*BF996WR,F,Ch-44ff32d2,1954-05-25,Chief Executive Officer
Jamie Ballard,39-875-3321,F,Fo-4dd66385,2015-06-10,Food technologist
Phillip Harris,P 095 363 478 276,M,He-9d8ee1ed,1954-08-28,Health service manager
Claire Bentley,H9311 00734 45326,F,Cl-737a9da2,1914-05-23,Clinical research associate
Amber Garcia,06MKH47085,F,Th-6e2fc802,1964-12-08,"Therapist, horticultural"
Cynthia Castillo,6319333,F,Fi-fbd283bc,1912-09-07,Fine artist
Stacy Rogers,SG505804A,F,In-97984a8d,2009-11-25,"Investment banker, corporate"
Dr. Dawn Howard MD,L5259872,F,Bu-09bc7028,1933-03-21,Building surveyor
James Reed,D2229431,M,Ad-055fa067,2001-09-02,Advertising account executive
Kristina Oliver,H60269175,F,Os-2753bd95,1942-10-01,Osteopath
Caitlin Ross,S3837 74841 52207,F,Th-7df4a7d5,1969-03-06,"Therapist, horticultural"
Lindsay Rhodes,EH358983,F,Yo-11e178d8,1991-06-20,Youth worker
Sergio Harrison,730-43-2056,M,Pu-d8099938,1921-10-03,Publishing rights manager
Sara Wolfe,C249-5978-6790,F,Bu-828f9720,1931-11-03,"Buyer, industrial"
Travis Lewis,S86-057-700,M,Fr-658440d0,1930-11-22,Freight forwarder
Dakota Perkins,T75-89-5567,M,Mi-d1fb6f80,1989-05-30,Midwife
Patrick Frank,M141-732-26-332-8,M,Me-e4180cd2,1941-12-25,Mental health nurse
Kevin Kelly,94 294 301,M,Co-97eb45b2,1969-01-12,Community education officer
Ann Johnson,BK***DT820RP,F,Co-1ba1194a,1916-11-19,Corporate treasurer
Kimberly Ray,113 167 406,F,De-16dcf374,1930-11-29,Dealer
James Morgan,91-574-8187,M,Co-1b7eaeef,2012-08-01,"Copywriter, advertising"
Jaime Kennedy,6212-49-8912,F,Me-55ca4604,1972-12-07,Mental health nurse
Teresa Johnston,7173-62-6753,F,Ca-cdd15299,1925-09-29,Cabin crew
Michael Murphy,ZNN-08-4845,M,Pu-2463e9f1,1975-01-28,Public relations account executive
Emily Ward,R-685-206-208-098,F,Pu-af937f09,2003-07-29,Public relations officer
Valerie Carter,Z2318556,F,Ps-893dca7b,1931-04-09,Psychotherapist
