job,birthday,epid,name,gender,licensenumber
Systems analyst,1998-06-09,Sy-9250c9ba,Timothy Leon,M,L22-46-8077
Toxicologist,1933-12-01,To-82d9a9c6,William Thompson,M,YVI**GS849IP
Field trials officer,2010-10-19,Fi-f0f06b93,Danielle Jackson,F,113OJ8564
"Accountant, chartered management",2022-10-20,Ac-36e86881,Amanda Robinson,F,G37104036
Chief of Staff,1992-04-20,Ch-a4f1c640,Jaclyn King,F,3730094L
Research scientist (physical sciences),1958-07-05,Re-eb5d7459,Jennifer Paul,F,337829053
"Surveyor, building",1917-05-03,Su-06c37f34,Blake Scott,M,9359338
Environmental education officer,1920-04-08,En-148d8111,Anthony James,M,N817237
Local government officer,1989-01-18,Lo-5c7d7f7b,Richard Salinas,M,K70-06-6590
Barrister's clerk,2017-09-09,Ba-2ccc2a15,Scott Newman,M,ZVB-41-8749
"Psychologist, sport and exercise",1982-09-22,Ps-b8a79cbb,Scott Smith,M,0016172
Environmental manager,1982-10-19,En-430fbaf3,Jennifer Nelson,F,M 398 884 429 390
Building control surveyor,1970-10-29,Bu-5ffb1788,James Cain,M,J499569
Multimedia specialist,1920-04-06,Mu-6f0275ec,Nicole Hunt,F,147 717 165
Production manager,1943-04-22,Pr-f75cb9da,Noah Jones,M,K 259 143 127 300
"Scientist, research (physical sciences)",1932-11-29,Sc-3055b9cf,Alan Frank,M,N632-984-52-109-2
Architectural technologist,1959-02-01,Ar-aeaf8bad,Christopher Livingston,M,EX354050V
Network engineer,1932-07-11,Ne-36d694c1,Tracy Stephens,F,199 436 019
Purchasing manager,1958-12-26,Pu-241d2dfe,Brian Richardson,M,374HB9856
Adult guidance worker,1917-04-25,Ad-023f2f89,Bryan Knox,M,M893-2358-0734-61
"Lecturer, higher education",1924-06-20,Le-dae7bc1a,Mark Pitts,M,O08-359-452
Special effects artist,1960-01-27,Sp-f80a5264,Amanda Baker,F,6530584
Paediatric nurse,1988-09-07,Pa-96b1e911,Natalie Anderson,F,9747638
Warehouse manager,1964-10-12,Wa-2c64179f,Daniel George,M,2074766D
"Optician, dispensing",1983-01-26,Op-635cf5ed,Taylor Ball,F,F0591758
"Civil engineer, consulting",1935-05-16,Ci-9443fc64,Todd Harrison,M,Y15990734
Telecommunications researcher,1957-05-17,Te-4ab1f3a4,Joe Baker,M,E65-888-183
Newspaper journalist,1955-08-09,Ne-c07cd612,Jade Torres,F,J489646
Speech and language therapist,1946-03-12,Sp-c2423648,Peter Lucero,M,I12072970
Physiotherapist,1928-01-29,Ph-8384d93c,Michele Shaw,F,UR728860M
Therapeutic radiographer,1977-08-13,Th-afc03d3b,Candace Walker,F,H79134644
Building surveyor,1915-11-24,Bu-d4760c84,Jasmine Gill,F,9673640N
Financial adviser,1976-08-04,Fi-bac5fff9,Emma Wang,F,A77019816
Commercial/residential surveyor,1985-08-31,Co-da2390d5,Richard Riley,M,H50-685-119
Retail buyer,2014-10-25,Re-9503c3b8,Hannah Rodriguez,F,X 305 230 212 436
Automotive engineer,2004-09-23,Au-a6067bb1,Diane Griffin,F,4365130
"Designer, textile",1916-03-02,De-ac00e20c,Christopher Ingram,M,Q2992 91365 33260
Corporate treasurer,1954-10-05,Co-404ff4e5,Tom Hayes,M,52-411-0625
Private music teacher,2017-07-19,Pr-ae95c1e9,Sean Marshall,M,FP319567
Recruitment consultant,2013-11-13,Re-b550e9e5,Ryan Hodges,M,T943732
Nutritional therapist,1997-11-08,Nu-fddb06a1,Carl Webb,M,F046-6663-3929
Nutritional therapist,1979-08-09,Nu-34686d90,Jamie Weeks,F,I810-1281-7989
Proofreader,1969-08-20,Pr-61283c78,Amber Cruz,F,469909456892
Insurance risk surveyor,1982-06-02,In-d6323213,Katie Marquez,F,CNJ-61-3025
Land,1931-04-22,La-be0fa658,Joshua Smith,M,5107878N
Planning and development surveyor,1953-04-30,Pl-fa4f3640,Tony Kelley,M,00-720-5535
Pensions consultant,1978-08-20,Pe-ae76a99c,Gabriel Ray,M,743GV3735
Heritage manager,1914-06-27,He-e4a72373,Shelby Dean,F,23-418-8319
Actor,2007-06-14,Ac-b11bbb34,Antonio Cook,M,39-412-6532
Data scientist,1932-05-30,Da-a414c968,Michael Velasquez,M,PW781074
