licensenumber,gender,job,name,epid,birthday
18 071 691,M,"Surveyor, building control",Andre James,Su-dd15615c,1984-06-21
L783-1851-4177-18,F,"Horticulturist, commercial",Deanna Lee,Ho-4d50cccf,2015-11-28
4170797,F,Teaching laboratory technician,Jennifer Tran,Te-74ae0c2b,1996-02-06
1276173294130,F,Barrister,Maria Holland,Ba-a8276310,1935-09-25
U557071,F,"Nurse, adult",Shawna Taylor,Nu-16b4e5e9,1957-08-01
S382-2195-3764,M,"Scientist, physiological",Joseph Brown,Sc-ed91b68a,1962-07-25
122EF2462,F,"Therapist, occupational",Michelle Rowe,Th-aea6a474,1926-06-20
D059-8652-6862-97,F,Therapeutic radiographer,Pamela Griffith,Th-7d6bccce,1944-08-30
4719037,M,"Research officer, political party",Adam Davis,Re-53db8624,1970-06-18
185745379,M,Optometrist,Nicholas Lewis,Op-798b5d1b,1958-02-12
J3628986,F,Music therapist,Cynthia Gonzales,Mu-066951d8,2009-12-24
86 474 167,M,"Engineer, water",James Bowers,En-04416c23,1947-11-08
O07-147-194,M,Dealer,Joseph Ortiz,De-e7d3f983,1912-10-10
V438-6055-5759-82,M,"Therapist, occupational",Brent Coleman,Th-f4a5c3b0,1968-05-07
985GT1111,F,Optometrist,Claudia Russell,Op-4f434040,1941-08-27
J-859-600-298-146,F,Geographical information systems officer,April Walker,Ge-27c35a0f,1952-09-17
X 449 082 154 050,F,"Designer, graphic",Elizabeth Gentry,De-f71c10a2,1965-07-08
P8573 87785 37836,F,Agricultural consultant,Shannon Fry,Ag-db86dce1,1975-04-14
B179978,M,Bonds trader,Jeffrey Fitzpatrick,Bo-58c1826c,1920-06-23
068MD3724,M,"Production assistant, radio",Gabriel Marshall,Pr-270d6389,1918-02-10
359-12-5988,F,Oceanographer,Kristen Alvarado,Oc-ef1d7855,1973-06-05
M22-03-3331,F,Lexicographer,Catherine Keller,Le-33f508ac,1912-07-22
199-69-9842,F,Trading standards officer,Meagan Pena,Tr-4d3e18c7,1972-08-26
618330-815,M,Contracting civil engineer,Randall Lewis,Co-bde94372,2014-09-28
54048450,F,Product manager,Sydney Rodriguez,Pr-67f433db,2017-04-26
9588-01-0620,M,Ophthalmologist,Jacob Morrow,Op-38349b62,1959-04-02
OUE**ZO851LF,F,Chartered management accountant,Jennifer Bailey,Ch-241684bb,2000-11-29
8285-46-7026,F,"Editor, commissioning",Michelle Carpenter,Ed-0f85ee0f,1928-03-15
ZT***NO641IL,M,"Teacher, English as a foreign language",Adam Nelson,Te-a1d62f9b,2022-06-17
5869-37-8162,F,Armed forces logistics/support/administrative officer,Kathleen Figueroa,Ar-186664e6,1953-01-10
9055509,M,Copy,Mitchell Hill,Co-d9908d46,1953-08-11
W46377528,M,"Scientist, research (life sciences)",Scott Smith,Sc-bffafe25,1941-11-30
K004539583735,M,Sports administrator,Curtis Reyes,Sp-3998f1ee,1936-05-20
WS612911,M,Armed forces operational officer,Patrick Wheeler,Ar-db159b84,1995-04-20
9483-98-0634,M,Osteopath,Lee Davis,Os-a2e5d4ce,2009-05-15
W-561-040-778-903,M,Dealer,Kenneth Baker,De-e9fc798e,1951-03-17
1219-92-2498,F,Planning and development surveyor,Cynthia Ballard,Pl-cab58eab,2004-05-30
RX034281R,F,Health and safety adviser,Rhonda Carroll,He-5bc5640e,1924-06-11
0640428,F,Catering manager,Jill Alexander,Ca-7f740c00,1988-11-10
Z35-870-716,M,"Engineer, petroleum",Derrick Larson,En-9195dbae,1990-05-16
1088035384121,M,"Investment banker, operational",Tristan Moss,In-e72483d9,1946-12-28
04KAT18311,F,Nutritional therapist,Judy Moody,Nu-833d71fb,1914-01-10
H84954316,F,Psychiatrist,Jennifer Smith,Ps-c4512df1,1978-01-04
955588532,M,Further education lecturer,Roberto Sanchez,Fu-31e71597,1933-03-10
K549035810459,F,Commercial/residential surveyor,Rebecca Richards,Co-d8bbe4b0,1997-05-04
O8813789,M,Psychiatric nurse,Victor Campbell,Ps-34bf9dab,1979-12-11
Y955-1472-9120-71,M,Diplomatic Services operational officer,Randy Rice,Di-2d2f946f,1947-07-06
91 004 458,F,Armed forces training and education officer,Tamara Gregory,Ar-34fd39e9,1930-10-19
46991004,M,Emergency planning/management officer,John Smith,Em-3cc6efae,1928-09-23
F16-673-688,F,Hotel manager,Michelle Bernard,Ho-9afb0dc8,1957-08-23
