job,epid,licensenumber,gender,birthday,name
"Therapist, speech and language",Th-5cbc2ecb,391 173 872,M,1965-01-10,Brian Wilson
Publishing copy,Pu-b9e91875,N84-06-8138,F,1993-07-04,Brandi Ray
Agricultural engineer,Ag-b06ba5f9,976965659,M,1917-04-01,Marvin Bond
Chartered accountant,Ch-bbdaab10,15 984 079,M,1993-02-21,Raymond Harris
Dispensing optician,Di-8b2c6530,972OL2625,F,1951-08-11,Melissa Mitchell
Personnel officer,Pe-c1117726,Z448-4160-0784-45,M,1944-12-24,John Miranda
Chartered loss adjuster,Ch-281161c1,PK***LA978QM,M,1919-05-08,Mitchell Turner
Psychiatric nurse,Ps-49afbe26,S15257143,F,2011-12-31,Connie Evans
"Editor, commissioning",Ed-d4fa2070,993323261544,M,1988-09-23,Jeffrey Moore
Conference centre manager,Co-c7d267c0,8400646,M,1957-06-27,Andrew Miller
"Presenter, broadcasting",Pr-1defdae9,D3169962,F,1931-10-20,Christine Cross
Theatre manager,Th-b2f04fdb,544222348821,F,2016-05-11,Michelle Best
Community arts worker,Co-73c79cc9,271BR9639,M,1999-02-13,Jacob Peters
Theme park manager,Th-9e6898b6,H44564415,M,2019-12-21,Adrian Walsh
Bookseller,Bo-ef5c322d,11042978,F,1996-10-20,Denise Robinson
Clinical research associate,Cl-c7fe4f2f,951529304,M,1932-03-23,Donald Flynn
"Teacher, adult education",Te-a4a7d96f,700GW9365,F,1916-08-28,Kelly Nixon
"Merchandiser, retail",Me-d01cde39,2703708H,F,1967-04-15,Amber Brown
Data scientist,Da-00694f3b,927-99-2415,F,2014-11-07,Brittney Rojas
Architectural technologist,Ar-369fdb0a,H72768951,F,1990-10-08,Robin Thomas
"Programme researcher, broadcasting/film/video",Pr-22c556c4,4635-31-8494,M,1996-05-07,Charles Hernandez
"Surveyor, planning and development",Su-b64db2a5,WDLH7C7WS7Z1,M,2021-09-14,Bruce Blake
TEFL teacher,TE-93c31d8d,D-456-721-997-129,F,1974-04-16,Kimberly Robinson
Banker,Ba-517bd5a2,7108518,M,1935-07-03,Derek Bishop
Building surveyor,Bu-34fbcec5,D440411896,F,1967-01-29,Laura Thompson
Television/film/video producer,Te-3038a764,EP***TK488V5,M,1939-04-15,Russell Lee
Fisheries officer,Fi-96be2724,1504681,M,2018-10-25,Robert Ramos
Heritage manager,He-ad5f4dc3,A412-997-58-516-8,F,1995-06-12,Mary Cook
Careers information officer,Ca-80d96265,X5403008,F,1953-11-11,Makayla Baker
Comptroller,Co-98137f51,H65529376,M,2008-11-14,Gerald Liu
"Physicist, medical",Ph-940489bc,WDLWZGGASFPF,M,2012-10-12,Mr. Paul Fox
Media buyer,Me-f1b41758,8780217,F,1922-02-04,Claudia Johnston
Building surveyor,Bu-d7ec64ac,061 306 119,F,1938-04-15,Kathy Cowan
Museum/gallery exhibitions officer,Mu-a6778bea,W956-2821-0339,F,1995-06-11,Karen Green
Building services engineer,Bu-813dc016,S7955976,F,1983-02-24,Amy James
Sport and exercise psychologist,Sp-dc7eab65,U61-80-0188,F,1975-03-16,Ashley Espinoza
"Psychologist, prison and probation services",Ps-bb382082,N880-356-56-018-2,M,1974-05-05,David Martin
Chartered certified accountant,Ch-bab6328b,D 685 400 919 605,F,1992-03-21,Natalie Espinoza
"Education officer, museum",Ed-6f6e11f1,335-68-5493,M,1946-02-11,Nathan Gibson
Tax adviser,Ta-051cc1db,C 019 460 121 451,M,1988-12-30,Jonathan Bryant
"Teacher, special educational needs",Te-4c6235e3,V091-1352-6413,M,1944-01-01,Patrick Hendricks
"Editor, film/video",Ed-60202ddf,QWDE*AP963KI,M,1966-07-29,Derek Frazier
Corporate investment banker,Co-28b4d2e1,979926693,M,1971-03-06,Timothy Lawrence
Administrator,Ad-f94ec8c0,48 010 977,F,2013-04-16,Cindy Fuentes
Web designer,We-6779c9e3,219559-914,M,2007-05-09,Robert Richard
Press sub,Pr-fa8f5b1d,971235428,M,1911-01-19,David Jackson
Probation officer,Pr-b89765af,46 005 586,F,2019-04-15,Amy Perry
Product/process development scientist,Pr-6d8e3915,H412-8785-3406-39,M,2022-08-22,Jason Miller
Exhibition designer,Ex-73bf8ea1,7938723,F,1954-07-29,Cynthia Powell
Land,La-e4427418,A-355-670-420-517,F,1919-05-29,Melissa Glover
