birthday,licensenumber,name,job,gender,epid
1979-01-10,HF562089D,Kevin Powers,Chief of Staff,M,Ch-6a5705aa
1995-01-30,T548-413-65-430-9,Paul Flores,Hydrogeologist,M,Hy-6f7cb88a
1915-06-17,7804537,Melissa Hughes,"Pharmacist, community",F,Ph-bfa86848
2006-09-09,B60-65-6074,Jacob Dunn,Ecologist,M,Ec-8cb76361
2020-04-22,WDLQPM9DJ76J,Brandon Bond,Glass blower/designer,M,Gl-964f1127
2022-08-26,J07-65-8613,Jeffrey Reid,Scientific laboratory technician,M,Sc-6f3dac2a
1992-04-29,UG823941,Jessica Owen,Dramatherapist,F,Dr-321b3efa
1927-03-29,24-572-6598,Amy Mullins,Sales promotion account executive,F,Sa-a7832516
1915-04-27,8628-17-2660,Ruth Li,"Geologist, wellsite",F,Ge-ebf271e8
1909-02-07,B4851 52115 10316,Gabriela Hill,Historic buildings inspector/conservation officer,F,Hi-77a71b07
2019-10-13,0963380,Stephen King,Health and safety adviser,M,He-b55c6800
1969-11-07,H312-4057-8803-86,Richard Dominguez,Chiropractor,M,Ch-28d22ada
2007-11-27,P296-559-00-025-3,Laurie Williamson,Geoscientist,F,Ge-3198bfa1
1967-11-21,B 522 280 984 512,Wesley Hatfield,Town planner,M,To-7aa90c08
2014-07-26,706122-774,Justin Watkins,Travel agency manager,M,Tr-5334dacc
1921-02-16,472004327344,Norman Stewart,Environmental education officer,M,En-998d83d1
1919-11-21,ZLEQ*RQ610SF,Amy Alvarado,Television production assistant,F,Te-046e3632
2021-03-08,R7401016,Olivia Campbell,Medical laboratory scientific officer,F,Me-b2fc632b
1963-12-22,283852935687,Hunter Price,"Programmer, multimedia",M,Pr-66ea2cb0
2010-01-01,QS637844,Jill Cardenas,Energy engineer,F,En-3187914a
1986-01-08,965820-468,Alisha Butler,"Engineer, civil (consulting)",F,En-a9d1c1b5
1984-11-05,WDLSSP413UH2,Joshua Stout,"Designer, interior/spatial",M,De-6d11b6ea
1908-03-05,587 797 610,Raymond Gaines,Furniture conservator/restorer,M,Fu-35e0b185
1984-05-12,291-67-0988,Sheri Jones,Public relations account executive,F,Pu-b2df447e
2021-05-15,F-787-409-497-908,Ryan Moran,Museum education officer,M,Mu-ccf5f34a
1929-06-26,VD523210L,Sergio Tran,Adult guidance worker,M,Ad-647df222
1958-02-05,A8155138,Billy Nguyen,"Secretary, company",M,Se-ccb7a18a
2012-05-14,61 361 954,Matthew Anderson,"Therapist, drama",M,Th-7d74b96b
1998-05-12,M40-56-4737,Sherri Stevens,Armed forces operational officer,F,Ar-e44e3b4e
1953-04-07,L70-53-4376,Robert Dominguez,Warden/ranger,M,Wa-614a712e
1985-10-31,GINJ*AX5452A,Carlos Knapp,Investment analyst,M,In-0496ed46
1986-12-19,WDL5IZRLM50N,David Bryant,"Librarian, academic",M,Li-3bdcc3fe
1965-01-18,P7334 13565 37245,Jennifer Anderson,"Scientist, research (life sciences)",F,Sc-0c8d1993
1991-07-03,K010246599,Robert Weber,Medical physicist,M,Me-6a2fb9cd
1964-12-02,K45-81-4929,Brian Harrison,Publishing rights manager,M,Pu-b27c88a7
1933-12-20,U8005177,Ariel Johnson,Firefighter,F,Fi-275cc305
1999-03-15,MU169035,Ronald Fox,Merchant navy officer,M,Me-8c8b6895
2013-12-13,9309818Z,Mark Gonzalez,Magazine journalist,M,Ma-28b420ec
1911-12-06,567124-410,Carlos Adams,Equities trader,M,Eq-4d2a67ac
2015-06-23,K39-32-2085,Katie Black,Counsellor,F,Co-ebea4f52
2022-09-01,K43-39-2914,Natasha Cooley,Chartered accountant,F,Ch-138ed034
1935-08-28,8774-90-0885,James Ortega,Food technologist,M,Fo-7059b03f
1992-10-09,0374595714112,Gregory Cannon,Animal nutritionist,M,An-e1000e2a
1928-01-06,08DJQ91013,David Reyes,Environmental manager,M,En-e6d14056
1975-03-26,29858516,Kristy Gross,Operational researcher,F,Op-9b4451a2
1910-02-15,Q74145901,Sally Curtis,Set designer,F,Se-922b4b58
1971-02-09,8757286,Jessica Woods,Purchasing manager,F,Pu-7f223883
1962-04-20,E925575490744,Kevin Lindsey,"Scientist, research (maths)",M,Sc-c26f0f34
1937-09-01,E46400389,Angela Dixon,Accommodation manager,F,Ac-70fac39d
1968-06-22,U-053-841-864-868,Christopher Gordon,Insurance account manager,M,In-c671a09a
