licensenumber,name,gender,job,epid,birthday
715509938475,Andrew Copeland,M,Armed forces logistics/support/administrative officer,Ar-fe3ad61c,1936-07-04
H18132761,Dana Bryant,F,Administrator,Ad-5b39cf81,1935-08-10
OL876505L,Rebecca Rogers,F,Counsellor,Co-c3f6839f,2000-06-01
920 809 977,James Lee,M,Financial risk analyst,Fi-bc0ab621,1988-09-01
610851509878,Steven Neal,M,"Therapist, nutritional",Th-7b16bd9f,1975-10-12
RA400696W,Isaac Norris,M,Technical author,Te-a51acd7f,2014-04-14
P2479451,Michael Joseph,M,Scientific laboratory technician,Sc-059eaa13,1934-04-24
XG572174,Rebecca Smith,F,"Programmer, systems",Pr-9f2ab7e4,1929-08-18
A7114 72636 62772,Paige Patterson,F,Community development worker,Co-2c1bf30e,2022-03-09
R972-633-47-341-5,Michele Young,F,"Education officer, community",Ed-38c1cb02,1935-10-18
2995-31-0784,Bryce Woods,M,Customer service manager,Cu-d0da035a,2021-11-09
S307-7786-3799,Daniel Bush,M,Learning mentor,Le-17d0eb5f,1943-08-26
51-161-3490,Christina Mitchell,F,Armed forces logistics/support/administrative officer,Ar-e6ee887e,1963-02-22
I57699651,Randall Perez,M,Private music teacher,Pr-198937d2,1992-01-10
J51-18-9093,Glen Davis,M,Corporate treasurer,Co-451a8489,1966-12-27
X474-3011-5397-60,Dana Mcdonald,F,Barrister's clerk,Ba-e90fe9e2,2015-09-13
952905312,Robert Smith,M,Theatre manager,Th-05808f52,1993-07-07
824265210480,Allison West,F,"Loss adjuster, chartered",Lo-f40f453c,1909-10-06
89 824 708,Brooke Hampton,F,Water quality scientist,Wa-09a4404d,1923-02-28
N828-386-41-980-7,Lisa Haynes,F,Television/film/video producer,Te-e63c633c,2016-10-25
K06-19-4858,Danielle Mitchell,F,Planning and development surveyor,Pl-dc16f068,2020-09-22
905314-727,Amy Cherry,F,"Horticulturist, commercial",Ho-239ef387,1923-04-03
G-035-147-639-866,Ashley Bright,F,"Engineer, maintenance",En-a7a2e59c,1943-01-26
9793332L,Dylan Kim,M,Games developer,Ga-0ac65d1e,2010-09-12
L09-478-426,Bryan Lopez,M,"Pilot, airline",Pi-f64dde66,1974-01-01
S-842-433-559-281,Benjamin Glass,M,Paediatric nurse,Pa-5e41e4a3,1919-12-13
V-194-079-839-818,Michael King,M,Outdoor activities/education manager,Ou-e98294d4,1927-12-24
ZVV-90-9547,Denise Walker,F,Glass blower/designer,Gl-e41c6e52,1919-07-22
1281235544130,Robert Kelley,M,Dentist,De-02662061,1941-02-09
86-037-8529,Michael Morales,M,"Administrator, arts",Ad-42ca0abe,2010-05-10
7131547J,Susan Hughes,F,Press photographer,Pr-7fe97ae9,1950-09-02
X8475882,Alec Gonzalez DDS,M,Technical author,Te-25b416ba,1931-04-14
26 698 439,Kristine Hayes,F,"Psychologist, counselling",Ps-1401d7ab,1942-11-02
695JK4073,Victoria Bradford,F,Mudlogger,Mu-4eea1bb1,1934-04-16
E7884503,Julie Moore,F,Adult guidance worker,Ad-98d8aef6,1921-01-19
WD***AU78807,Rebecca Jones,F,Dramatherapist,Dr-6e4f58a6,1920-06-02
R968398033,Aaron Buck,M,"Accountant, chartered certified",Ac-2d0c7f51,1961-06-05
401PC6052,Andrew Mcgee,M,Industrial buyer,In-b9cbeabb,1971-09-17
QKD-10-6139,Karen Walsh,F,Travel agency manager,Tr-6fc7ac57,2017-01-07
468041860,Blake Ferguson,M,"Engineer, petroleum",En-930098e5,2006-10-03
063XZ5534,Jeffrey Sanders,M,"Lecturer, further education",Le-8a3b4293,1913-04-13
993054844,Garrett Johnson,M,Forensic scientist,Fo-e74eaa9f,2002-10-17
X942-2935-6014-12,Mark Cooper,M,Animator,An-33ee7949,2015-11-04
J59379537,Tracey Freeman,F,Adult nurse,Ad-cdc29c2b,1997-01-03
L763240,Nicholas Chapman,M,Air broker,Ai-884162bc,1958-04-11
765 726 919,Randy Lewis,M,"Designer, furniture",De-1b10e914,1971-05-12
5470-77-4215,Melissa Green,F,IT sales professional,IT-a03622aa,1991-09-07
215IC1916,Robert Knight,M,Call centre manager,Ca-fdabe943,2010-01-17
1154016924108,Barbara Ross,F,Health and safety inspector,He-c36f4304,1997-07-03
319223-027,Holly Anderson,F,"Therapist, occupational",Th-0166e1f5,1917-11-29
