job,name,licensenumber,epid,birthday,gender
Television camera operator,Taylor Wood,FMS-27-3303,Te-d87acdfb,1945-07-31,F
Public relations officer,Marissa Davis,979749539303,Pu-db56bce6,1985-10-19,F
Housing manager/officer,Joel Patterson,G96-77-9596,Ho-0e461154,2019-08-10,M
Tax adviser,John Payne,12KIU05290,Ta-d2f46318,1956-02-19,M
Ergonomist,Victoria Jones,U586-615-68-997-9,Er-e7c03e74,1992-06-04,F
Financial planner,Kristi Murphy,11XSP44268,Fi-a6d586f7,1977-06-16,F
"Producer, radio",Jennifer Day,956-83-6997,Pr-90f47281,1936-10-22,F
Advice worker,Ruth Lawrence,865751-741,Ad-223256a0,1991-03-06,F
Building services engineer,Donald Clark,76 279 338,Bu-f87c9951,1940-02-19,M
Teaching laboratory technician,Timothy Mitchell,879-74-7147,Te-abaeb45e,1976-06-24,M
"Scientist, biomedical",Amanda Hawkins,668YZ0401,Sc-b28d0eea,1949-04-07,F
Chief Strategy Officer,Jimmy Drake,6493348,Ch-c74e7bc5,1970-05-27,M
Data processing manager,Nicole Castaneda,VXJ**BH695UI,Da-e6ae61b6,1943-12-06,F
Surgeon,Vanessa Jensen,D-462-057-350-089,Su-68836f10,1938-08-25,F
"Therapist, nutritional",Jerome Shaw,IPJASUL335CP,Th-93f2e37b,1996-07-31,M
Applications developer,Jeffrey Walsh,82161776,Ap-08d2d5b2,1982-08-03,M
Art gallery manager,Elizabeth Taylor,H262-3364-0984,Ar-d98c6c06,1985-06-17,F
Advertising art director,Erin Willis,Y-400-708-873-801,Ad-4fabd486,1922-05-15,F
Regulatory affairs officer,Leslie Burke,WDLE1OEZSH3P,Re-4886cdf0,1912-09-01,F
"Psychologist, educational",Carly Miles,A62096513,Ps-744e5ce7,1971-05-06,F
"Scientist, marine",Joshua Buchanan,LW859098C,Sc-5e708a10,1976-08-12,M
Intelligence analyst,Jason Phillips,ZU675077,In-79769968,2003-01-28,M
Chartered management accountant,Linda Thompson,M34469154,Ch-bdfddccf,2004-04-23,F
Stage manager,Shawn Berger,P-478-658-381-886,St-10743425,2009-10-12,M
Copy,Kimberly Day,9939090,Co-b59e7780,1963-12-26,F
Physiotherapist,Tony Wells,Z077-154-39-573-9,Ph-20f3c8a4,1987-11-03,M
"Librarian, academic",Tammie Torres,K52-78-2805,Li-9f43a8d8,2022-12-27,F
Social worker,Jason Caldwell,Z253-3635-4958-75,So-13c6066a,1967-01-22,M
Environmental manager,Aaron Reed,12940095,En-56abff97,1972-11-01,M
Wellsite geologist,Christopher Dunn,A083-691-44-348-3,We-00734445,1987-05-20,M
Dancer,Nicole Aguilar,S 532 458 107 932,Da-93102f1b,2005-09-27,F
"Designer, graphic",Brandon Dennis,WDLK6XVJRWSL,De-f52bb0ba,2017-05-03,M
"Psychologist, educational",Lauren Davis,827-69-8113,Ps-b6402197,1916-01-30,F
Commercial/residential surveyor,Ronald Miller,Z-189-190-293-739,Co-0648b72c,1924-06-24,M
Horticultural therapist,Michael Hood,W55-528-733,Ho-c148b0ed,1982-03-07,M
General practice doctor,Bryan Carr,885628100,Ge-8508c231,2015-10-03,M
Careers adviser,Misty Armstrong,0196393424122,Ca-6ebf6d46,1979-10-14,F
Pharmacologist,Andrew Newman,039LH5340,Ph-1afe78f2,1931-08-04,M
Human resources officer,Jessica Gibson,K945444,Hu-07aed15e,1974-10-20,F
Financial risk analyst,Jacqueline Garrett,WDLIETX58N1M,Fi-2d57cbff,2019-11-03,F
Occupational therapist,Victoria Morris,921567332,Oc-884189f1,1914-01-24,F
Systems developer,Kevin Wright,H81485367,Sy-0b632706,2022-05-28,M
Dispensing optician,Isaiah Anthony,A058837,Di-3eb62b51,1946-09-10,M
Manufacturing systems engineer,Zachary Gonzalez,601805-525,Ma-a9bd01dd,1974-11-18,M
Primary school teacher,Dana Thomas,F995-3745-7650-80,Pr-4e4216d3,1955-05-20,F
Telecommunications researcher,Christina Doyle,8149-36-4064,Te-63562533,1987-01-24,F
Ambulance person,Joseph Benson,M119449,Am-ef74f0be,1966-09-01,M
Civil Service administrator,Nicole Hawkins,338-20-0676,Ci-31f14ca4,2002-04-14,F
Actor,Michelle Harper MD,84625159,Ac-4032610f,1907-08-08,F
"Research officer, government",James Ingram,EMR-62-5727,Re-8f242914,1990-01-14,M
