job,epid,name,licensenumber,birthday,gender
Oncologist,On-ccaa9e7e,John Wong,Z890802,1910-01-19,M
"Accountant, chartered certified",Ac-7505ad80,Eric Montgomery,009176-812,1951-09-25,M
Medical technical officer,Me-006fbb50,Shirley Holt,H42585728,1957-06-10,F
Graphic designer,Gr-a95807e4,Alexander Moore,M4231918,2010-08-25,M
Arts administrator,Ar-1e2fa786,Scott Martinez,X264470452,2012-01-15,M
Garment/textile technologist,Ga-4e9e2640,Diana Salas,OSO-05-5452,2014-07-25,F
Animal nutritionist,An-be136f22,Eric Sims,04361403,1989-03-30,M
Structural engineer,St-e6eac8cb,Lisa Dixon,SG200732O,1962-12-25,F
"Surveyor, minerals",Su-ec5d5611,Eric Bauer,964356843,1935-03-26,M
Fine artist,Fi-1b6b9907,Katie Johnson,852481-399,1968-05-05,F
Horticultural therapist,Ho-550104d2,Phillip Washington,043-33-2361,1992-04-06,M
Landscape architect,La-9acac6e3,Karen Singleton,9784569,1964-08-06,F
Agricultural consultant,Ag-d549dcce,Travis Murray,0996-12-7166,1909-05-26,M
Science writer,Sc-e9deda6f,Anna Moss,642472982,1938-06-26,F
Technical brewer,Te-eb00283e,Peter Sanders,S788-9580-0151-21,1963-11-22,M
Pensions consultant,Pe-939a857b,David Blake,NS***KU4076B,1913-05-25,M
Energy engineer,En-946c62d0,Steven Kelley,9318759,1953-10-24,M
Curator,Cu-41dc5ada,Thomas Mclaughlin,U815529146,1975-02-25,M
"Editor, magazine features",Ed-6d28bcef,Katherine Meyer,XF493790Y,1914-09-21,F
Geophysicist/field seismologist,Ge-61485cd4,Kevin Osborn,Q8585170,1943-04-13,M
"Therapist, sports",Th-167f3c79,Pamela Fields,H88237986,1918-01-15,F
Historic buildings inspector/conservation officer,Hi-86320973,Don Bowen,WDLAH4E6VN7G,1997-10-05,M
"Presenter, broadcasting",Pr-e0bd60f4,Daniel Baker,972249-503,1969-04-23,M
Chief Operating Officer,Ch-6c26db0c,Mary Rollins,1583926,1931-12-10,F
Mudlogger,Mu-5f1cacad,Lindsay Martinez,M99-48-2758,2016-10-25,F
Public relations officer,Pu-273ddcf2,Dominique Myers,L523084496,1954-01-26,F
Lobbyist,Lo-d7bba66e,Shelly Henry,C94-40-0351,1935-09-18,F
Community arts worker,Co-56058d37,Robert Farmer,998860115,1907-09-20,M
Tax adviser,Ta-47029601,Anna Ponce,360901074,1985-05-03,F
"Research officer, government",Re-54d29c8a,Tracy Pearson,WDLQI48G93R3,2000-12-11,F
Chartered management accountant,Ch-d04ddae1,Leslie Ortiz,JV195983T,1919-01-23,F
Retail merchandiser,Re-1a2f949a,Amy Johnson,S0545135,1960-11-08,F
Cytogeneticist,Cy-4417a7d6,Andrew Wright,2955635,1936-02-17,M
Dramatherapist,Dr-123feb42,Audrey Young,55 390 515,1932-06-23,F
"Social research officer, government",So-05465a65,Spencer Becker,T-490-306-713-232,1986-08-06,M
"Civil engineer, contracting",Ci-0194d5a2,Brian Gomez,961804802,2020-04-07,M
Medical physicist,Me-58f3c202,Juan Beck,L-224-419-596-151,1963-12-14,M
Barrister,Ba-d491387e,Kelly Bailey,1063711064127,1984-08-09,F
Investment analyst,In-806822ef,Hailey Garcia,358-85-5294,1959-04-28,F
Veterinary surgeon,Ve-404c5f08,Gabriela Bell,A282-5540-3898,2010-12-05,F
"Research officer, trade union",Re-52c732d3,Jon Marsh,R213946,2010-01-18,M
"Engineer, communications",En-2e2877d5,Rhonda Delgado,NW566610E,2008-05-08,F
Financial manager,Fi-4279350b,Reginald Austin,AN456477,1989-08-13,M
"Designer, jewellery",De-84342a52,Sherry Short,K352143876,1949-09-11,F
"Programme researcher, broadcasting/film/video",Pr-4ae8f8b1,Elizabeth Saunders,23 281 643,2018-08-15,F
Financial risk analyst,Fi-8f000617,Tammy Mcmillan,20779825,1974-04-04,F
Fisheries officer,Fi-874e2a73,Elizabeth Valdez,341SG9034,1979-12-04,F
"Sound technician, broadcasting/film/video",So-387bdddf,Sylvia Acosta,M782763,1950-02-07,F
Hotel manager,Ho-631c7b0b,Mckenzie Haley,7993366,1943-07-27,F
Hydrologist,Hy-4d415ffd,Nancy Braun,K04-69-3911,1990-07-05,F
