gender,licensenumber,name,job,birthday,epid
F,353CC8759,Brittany West,Cytogeneticist,1976-12-01,Cy-41aa6c92
M,991812465,Charles Dudley DDS,Archaeologist,1932-07-06,Ar-ce541631
F,A633-5748-3330,Kathleen Bryant,"Scientist, physiological",1987-01-22,Sc-1a17ef19
M,862-33-8728,Robert Watkins,Sales promotion account executive,2007-07-16,Sa-57497c81
F,09VTX50315,Stacey Santiago,Health visitor,1953-05-14,He-092a9aec
M,10LWR74219,Brian Cooper,"Scientist, marine",1963-07-19,Sc-7d198267
F,6581-07-4934,Bridget Johnson,Homeopath,1919-12-04,Ho-33838bf3
F,253205-518,Jill Salazar,Civil Service fast streamer,1959-11-01,Ci-21565cd3
F,8434467N,Kendra Lynch,Medical laboratory scientific officer,2016-08-07,Me-0771d696
M,F17437450,Donald Black,Museum education officer,1987-11-20,Mu-66acde53
M,749399-963,Anthony Baker,Podiatrist,1921-08-12,Po-25b8cd20
F,Z92-56-9792,Donna Barker,"Therapist, occupational",1910-02-23,Th-ea19edaa
F,LZS-51-6866,Brittany Macias,"Journalist, newspaper",1983-02-11,Jo-f9ca92fb
M,4342-40-9647,Edward Gonzales,Multimedia programmer,2005-11-04,Mu-2293f0a9
M,259602-682,Joshua Estes,"Nurse, learning disability",1940-12-14,Nu-566130ad
F,K43-90-1692,Dawn Stark,Secretary/administrator,2001-03-23,Se-84794c78
F,11UWN62196,Carla Mcdonald,Lobbyist,2009-06-21,Lo-6c77d504
M,AV078769N,Michael Phillips,Barista,2020-06-07,Ba-cadbf254
F,3391638A,Barbara Moss,"Surveyor, quantity",1947-05-06,Su-4343bece
M,I477189614736,Joseph Flores,Early years teacher,1994-07-10,Ea-f4238a52
M,87322935,Andre Miller DDS,"Teacher, primary school",1962-04-22,Te-37ad8bbe
F,98-214-5168,Laura Hudson,Chartered loss adjuster,1946-12-22,Ch-c6b15e7a
F,GUK-10-1407,Allison Lee,Financial controller,1983-08-09,Fi-177fa2e1
M,4740691T,Michael Riley,Electronics engineer,1923-08-30,El-7d7168c3
F,I 961 405 219 687,Anna Klein,Broadcast journalist,1910-07-29,Br-d57356dd
M,W3576 99742 31405,Jason Wilson,Land/geomatics surveyor,1971-05-02,La-d49d975c
M,716425424,Nathaniel Mcconnell,Medical laboratory scientific officer,1991-02-01,Me-5e9f33fd
M,1202736164131,Calvin Cook,Charity officer,1994-04-11,Ch-1bf5bfc4
F,V32-36-8308,Kim Watts,"Designer, interior/spatial",1910-07-21,De-b115ba87
F,F216921,Erin Garcia,Proofreader,1929-01-18,Pr-9a18cd92
M,OM336879,Michael Ellis,Facilities manager,1948-07-15,Fa-68005fdd
F,399261696,Crystal Williams,Health and safety inspector,1961-06-08,He-c0e76cea
F,837 172 105,Lindsay Hayes,Horticultural therapist,2020-07-16,Ho-ed971897
M,7554476,Melvin Simpson,Multimedia specialist,1926-10-11,Mu-a042657a
F,613-22-5642,Robin Moore,Museum/gallery curator,1963-10-01,Mu-57676bc9
F,961438160,Linda White,Patent examiner,1912-06-06,Pa-d2f07672
F,QE406665G,Gina Peterson,Claims inspector/assessor,1949-03-11,Cl-d8da3e3a
M,H44670490,Richard Freeman,Statistician,1918-02-19,St-e6bfaed5
F,O048289,Casey Serrano,Artist,1952-01-14,Ar-7129e748
F,S87346961,Brandy Gonzales,Statistician,1947-08-20,St-838efbfb
M,E138-6458-9188,Kyle Fuller,Clinical research associate,2011-01-09,Cl-8fae3eef
M,881512972,Mark Ritter,Nature conservation officer,1991-11-13,Na-5c8b342d
M,01TOJ43036,Russell Medina,Barista,1999-04-25,Ba-c4b20154
M,E279-1627-1322,Eric Anderson,Food technologist,1983-01-19,Fo-36162d47
F,74-426-6029,Emily Castillo,Armed forces logistics/support/administrative officer,1981-11-22,Ar-db5d90ae
F,775427140652,Tracy Black,"Civil engineer, contracting",1941-01-24,Ci-6a7be649
F,K68-55-0623,Patricia James,"Teacher, music",1913-08-07,Te-e77a04ea
M,10ARP30230,Gerald Simmons,Advertising copywriter,1951-02-01,Ad-220c9a30
F,S3440549,Christine Walsh,Geochemist,2014-05-21,Ge-fd3b9615
M,HPXD*GP708ED,Michael Hartman,Commercial horticulturist,1926-02-05,Co-3e5c3569
